UnitID,Institution Name,NCAA/NAIA conference number football (IC2014),State abbreviation (HD2014),FIPS state code (HD2014),Sector of institution (HD2014),Percent of undergraduate students awarded Pell grants (SFA1415_RV),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  US total),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Alabama),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Alaska),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Arizona),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Arkansas),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  California),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Colorado),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Connecticut),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Delaware),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  District of Columbia),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Florida),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Georgia),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Hawaii),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Idaho),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Illinois),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Indiana),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Iowa),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Kansas),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Kentucky),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Louisiana),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Maine),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Maryland),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Massachusetts),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Michigan),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Minnesota),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Mississippi),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Missouri),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Montana),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Nebraska),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Nevada),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  New Hampshire),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  New Jersey),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  New Mexico),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  New York),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  North Carolina),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  North Dakota),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Ohio),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Oklahoma),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Oregon),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Pennsylvania),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Rhode Island),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  South Carolina),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  South Dakota),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Tennessee),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Texas),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Utah),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Vermont),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Virginia),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Washington),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  West Virginia),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Wisconsin),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  Wyoming),First-time degree/certificate-seeking undergraduate students (EF2014C_RV  State unknown),On campus  other expenses 2014-15 (IC2014_AY),Off campus (not with family)  other expenses 2014-15 (IC2014_AY),Off campus (with family)  other expenses 2014-15 (IC2014_AY),On campus  other expenses 2014-15 (IC2014_PY),Off campus (not with family)  other expenses 2014-15 (IC2014_PY),Off campus (with family)  other expenses 2014-15 (IC2014_PY),Grand total (EF2014B_RV  Undergraduate  Age 25 and over total),
126182,Adams State University,159,CO,8,1,51,488,,1,20,,22,338,,1,,3,2,,1,3,1,,1,,1,1,,1,2,4,,,,2,2,,1,33,1,,,2,1,4,3,,,,,24,1,,2,5,,,,5,2628,2628,2484,,,,442,
138716,Albany State University,161,GA,13,1,73,431,4,,,,1,,,,,2,418,,,1,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,4168,4168,3638,,,,797,
237118,Alderson Broaddus University,308,WV,54,2,48,331,1,,2,,5,1,,1,1,14,3,,,,3,,1,1,,,33,,1,,1,,,,,,9,1,7,2,,46,,,41,,1,,1,2,,,37,1,115,,,,2520,3120,3120,,,,66,
217624,Allen University,-2,SC,45,2,61,189,,,,,,,1,,,2,20,,,1,,,,,,,1,,,,,,,,,,,,3,7,,1,,,3,,147,,,1,,,,,,2,,,2000,2000,3200,,,,,
164447,American International College,153,MA,25,2,52,301,,,,,7,2,62,,,4,1,,,,,,,,,1,7,156,1,2,,,,,,2,17,,27,1,,1,,1,3,2,,,,1,,,2,1,,,,,1510,3034,3034,,,,,
222831,Angelo State University,147,TX,48,1,40,1251,,,3,,5,,,,,,1,,,2,,,,1,,,,,,1,,,,1,1,,,1,,,,,2,,,,,,,1231,,,2,,,,,,3480,3480,3480,,,,717,
197869,Appalachian State University,134,NC,37,1,28,3012,9,,,,2,2,2,5,,34,55,1,,6,1,,,1,,,18,2,3,3,1,1,,,,1,9,,5,2680,,9,,,18,2,52,,21,5,,,54,,,2,,8,4381,4681,4681,,,,1236,
104151,Arizona State University Campus Immersion,127,AZ,4,1,31,6858,1,14,4428,6,766,143,27,2,2,31,27,21,23,168,28,20,9,7,5,7,26,39,32,86,2,31,17,9,69,24,76,53,71,23,8,48,3,52,62,7,4,7,11,146,21,4,29,89,1,59,6,8,3404,4386,4386,,,,5350,
106458,Arkansas State University,134,AR,5,1,46,1636,3,,,1466,3,2,,,,6,6,,,14,1,,2,,2,,,,2,,4,64,1,2,,,,1,,2,,4,1,,,1,2,,15,28,,,1,2,,1,,,4624,4624,4624,,,,2081,
106467,Arkansas Tech University,367,AR,5,1,43,1910,,,,1827,,,,,,1,,,,,,,4,,10,,,,,,1,6,,,,,,,1,,,1,14,,,,,,7,37,,,,,,,1,,2948,4688,3558,,,,2586,
201104,Ashland University,144,OH,39,2,21,568,,,,,1,,,,,1,,,1,4,1,,1,,,,,,8,1,,2,,,,1,,,9,,,526,,,9,,,,,1,,,1,,1,,,,2596,3728,3728,,,,1183,
164562,Assumption University,153,MA,25,2,24,557,,,,,6,,54,,,6,1,1,,,,,,,,16,2,376,,,,1,,,,21,14,,22,,,3,,,2,28,,,,,,4,,,,,,,1800,1800,1800,,,,190,
100858,Auburn University,130,AL,1,1,16,4552,2757,,5,7,67,14,15,1,,271,635,4,2,49,7,2,3,21,15,1,33,15,6,2,13,6,,2,,5,29,1,23,62,1,21,4,1,24,4,43,1,145,145,1,1,70,8,3,3,2,2,5586,5586,5586,,,,856,
219000,Augustana University,155,SD,46,2,20,369,,,1,,5,10,1,,,,1,,,3,,35,,,,,,,,116,,1,,21,,,,,,,4,1,,1,,,,157,,2,,,,1,,7,2,,1400,1700,1400,,,,,
150136,Ball State University,119,IN,18,1,34,3596,2,2,1,,3,2,,1,,7,8,,2,277,3035,,2,3,3,1,1,1,43,,,,16,,,,9,,1,2,1,129,2,,5,,1,,3,3,1,,3,2,,18,,6,3050,3050,4538,,,,,
197911,Barton College,-2,NC,37,2,48,188,,,,,,,1,1,,11,2,,,,,,,,,,5,,1,,,,,,,1,1,,1,144,,3,,,1,,,,,1,,,15,,,,,,4400,4400,4400,,,,201,
223232,Baylor University,108,TX,48,2,20,3550,11,2,34,40,229,107,7,,,44,16,4,2,55,6,9,19,1,42,3,9,13,10,36,6,40,6,10,10,4,8,11,10,12,2,8,42,18,16,,4,5,37,2532,1,1,25,30,,3,3,7,3882,3882,3150,,,,321,
173124,Bemidji State University,155,MN,27,1,34,797,,3,1,,,4,,,,,1,,1,4,,5,1,,,,,,1,727,1,1,,1,,,,,1,,18,,,1,,,,3,,,,1,,,,22,,,2800,2800,2800,,,,,
217721,Benedict College,161,SC,45,2,83,534,7,,,,9,,2,1,21,22,67,,,8,1,,,1,1,,25,,8,1,,1,,1,8,,17,,10,23,,2,,,6,1,278,,,1,,,10,,,2,,,2100,7842,7842,,,,,
