UnitID,Institution Name,NCAA/NAIA conference number football (IC2013),State abbreviation (HD2013),FIPS state code (HD2013),Sector of institution (HD2013),Percent of undergraduate students awarded Pell grants (SFA1314_RV),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  US total),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Alabama),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Alaska),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Arizona),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Arkansas),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  California),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Colorado),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Connecticut),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Delaware),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  District of Columbia),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Florida),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Georgia),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Hawaii),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Idaho),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Illinois),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Indiana),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Iowa),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Kansas),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Kentucky),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Louisiana),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Maine),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Maryland),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Massachusetts),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Michigan),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Minnesota),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Mississippi),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Missouri),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Montana),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Nebraska),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Nevada),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  New Hampshire),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  New Jersey),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  New Mexico),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  New York),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  North Carolina),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  North Dakota),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Ohio),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Oklahoma),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Oregon),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Pennsylvania),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Rhode Island),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  South Carolina),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  South Dakota),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Tennessee),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Texas),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Utah),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Vermont),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Virginia),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Washington),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  West Virginia),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Wisconsin),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  Wyoming),First-time degree/certificate-seeking undergraduate students (EF2013C_RV  State unknown),On campus  other expenses 2013-14 (IC2013_AY),Off campus (not with family)  other expenses 2013-14 (IC2013_AY),Off campus (with family)  other expenses 2013-14 (IC2013_AY),On campus  other expenses 2013-14 (IC2013_PY),Off campus (not with family)  other expenses 2013-14 (IC2013_PY),Off campus (with family)  other expenses 2013-14 (IC2013_PY),Grand total (EF2013B_RV  Undergraduate  Age 25 and over total),
126182,Adams State University,159,CO,8,1,52,525,,,12,,24,388,,,,3,,2,,,1,1,2,,,,1,1,,,,3,3,,4,,1,50,3,,,,,5,,,,1,,14,2,,,,,2,1,1,2610,2610,2466,,,,481,
138716,Albany State University,161,GA,13,1,72,520,2,,,,,,,,1,7,503,,,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,1,,,,,,4068,4068,3550,,,,877,
237118,Alderson Broaddus University,308,WV,54,2,48,419,,1,2,,5,,1,1,2,9,9,,,1,2,,,5,,1,49,3,6,,1,,,,2,,9,2,5,6,,40,,2,40,,,,3,11,1,1,54,1,144,,,,2520,3120,3120,,,,76,
217624,Allen University,-2,SC,45,2,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1800,3000,,,,51,
164447,American International College,153,MA,25,2,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510,2870,2870,,,,318,
222831,Angelo State University,147,TX,48,1,41,1200,,,1,,1,1,,,,,,,,,2,,,,1,,,1,,2,,,,,1,,,3,,,,2,,,,,,,1,1184,,,,,,,,,3600,3600,3600,,,,770,
197869,Appalachian State University,131,NC,37,1,27,2846,5,,,,3,1,4,1,,25,55,1,,8,,,1,1,1,2,17,1,,1,1,2,,,,3,6,,5,2581,,9,,,11,,26,,19,6,1,,40,,,4,,5,4736,5036,5036,,,,1177,
104151,Arizona State University Campus Immersion,127,AZ,4,1,32,6440,2,20,4165,1,783,116,17,5,3,17,16,14,25,153,23,19,9,1,6,6,26,26,40,69,1,18,14,9,78,10,73,45,60,30,11,38,6,43,75,2,5,3,12,105,30,3,33,110,2,50,6,6,3154,4386,4386,,,,5477,
106458,Arkansas State University,134,AR,5,1,45,1565,5,1,,1410,5,1,,,,3,3,,,9,,,2,1,1,1,,,1,,4,58,,,,,,1,,,,1,1,1,,,,,33,21,,,1,,,1,,,3984,3984,3984,,,,2262,
106467,Arkansas Tech University,367,AR,5,1,44,1739,,,,1665,3,,,,,,,,,2,,,2,,7,,,,,,3,2,,,,,,,1,1,,,14,,,,,,1,38,,,,,,,,,2648,4268,3218,,,,2553,
201104,Ashland University,144,OH,39,2,29,611,,,1,,6,,1,,,,1,,,4,6,,,1,,,,,10,1,,,,,,,2,,3,,,564,,,9,,,,,,,,,1,,1,,,2595,3728,4069,,,,1117,
164562,Assumption University,153,MA,25,2,23,489,,,,,4,1,50,,,3,,,,,,,,,,13,5,325,,,,,,,1,19,8,,17,,,,,,2,35,,,,2,,3,,,,1,,,1800,1800,1800,,,,175,
100858,Auburn University,130,AL,1,1,16,3700,2334,2,,,34,9,10,2,3,191,500,1,,37,6,2,3,21,14,,39,12,6,7,8,8,,1,1,1,22,1,17,40,,24,1,1,21,3,31,,116,96,1,3,53,4,1,9,,4,2678,2678,2678,,,,821,
219000,Augustana University,155,SD,46,2,21,329,,1,1,,3,11,,,,,,,1,3,,25,1,,,,1,,,105,,,1,18,1,2,,,,,3,,1,,,,,144,1,3,,,1,,,2,,,1400,1700,1400,,,,72,
150136,Ball State University,119,IN,18,1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3010,3010,4530,,,,1165,
197911,Barton College,-2,NC,37,2,47,214,,,,,2,,,1,,6,,,,,,1,,,,,3,,,2,,,,,,,,,2,177,,2,,,2,,,,1,,,,14,,1,,,,4400,4400,4400,,,,240,
223232,Baylor University,108,TX,48,2,21,3137,,4,30,24,172,98,5,,,32,20,3,5,50,8,9,24,1,40,,8,9,7,21,8,41,1,5,6,3,4,16,10,10,,10,54,17,10,1,3,3,26,2271,2,1,19,37,,3,1,5,4938,5978,5468,,,,326,
173124,Bemidji State University,155,MN,27,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,2700,2700,,,,1199,
