"VariableName","Value","ValueLabel"
"State abbreviation (HD2013)","AL","Alabama"
"State abbreviation (HD2013)","AZ","Arizona"
"State abbreviation (HD2013)","AR","Arkansas"
"State abbreviation (HD2013)","CA","California"
"State abbreviation (HD2013)","CO","Colorado"
"State abbreviation (HD2013)","CT","Connecticut"
"State abbreviation (HD2013)","FL","Florida"
"State abbreviation (HD2013)","GA","Georgia"
"State abbreviation (HD2013)","ID","Idaho"
"State abbreviation (HD2013)","IL","Illinois"
"State abbreviation (HD2013)","IN","Indiana"
"State abbreviation (HD2013)","IA","Iowa"
"State abbreviation (HD2013)","KS","Kansas"
"State abbreviation (HD2013)","KY","Kentucky"
"State abbreviation (HD2013)","LA","Louisiana"
"State abbreviation (HD2013)","MD","Maryland"
"State abbreviation (HD2013)","MA","Massachusetts"
"State abbreviation (HD2013)","MI","Michigan"
"State abbreviation (HD2013)","MN","Minnesota"
"State abbreviation (HD2013)","MS","Mississippi"
"State abbreviation (HD2013)","MO","Missouri"
"State abbreviation (HD2013)","NE","Nebraska"
"State abbreviation (HD2013)","NV","Nevada"
"State abbreviation (HD2013)","NH","New Hampshire"
"State abbreviation (HD2013)","NJ","New Jersey"
"State abbreviation (HD2013)","NM","New Mexico"
"State abbreviation (HD2013)","NY","New York"
"State abbreviation (HD2013)","NC","North Carolina"
"State abbreviation (HD2013)","ND","North Dakota"
"State abbreviation (HD2013)","OH","Ohio"
"State abbreviation (HD2013)","OK","Oklahoma"
"State abbreviation (HD2013)","OR","Oregon"
"State abbreviation (HD2013)","PA","Pennsylvania"
"State abbreviation (HD2013)","SC","South Carolina"
"State abbreviation (HD2013)","SD","South Dakota"
"State abbreviation (HD2013)","TN","Tennessee"
"State abbreviation (HD2013)","TX","Texas"
"State abbreviation (HD2013)","UT","Utah"
"State abbreviation (HD2013)","VA","Virginia"
"State abbreviation (HD2013)","WA","Washington"
"State abbreviation (HD2013)","WV","West Virginia"
"State abbreviation (HD2013)","WI","Wisconsin"
