UnitID,Institution Name,NCAA/NAIA conference number football (IC2012_RV),State abbreviation (HD2012),FIPS state code (HD2012),Sector of institution (HD2012),Percent of undergraduate students awarded Pell grants (SFA1213_RV),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  US total),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Alabama),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Alaska),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Arizona),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Arkansas),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  California),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Colorado),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Connecticut),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Delaware),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  District of Columbia),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Florida),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Georgia),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Hawaii),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Idaho),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Illinois),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Indiana),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Iowa),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Kansas),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Kentucky),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Louisiana),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Maine),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Maryland),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Massachusetts),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Michigan),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Minnesota),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Mississippi),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Missouri),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Montana),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Nebraska),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Nevada),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  New Hampshire),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  New Jersey),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  New Mexico),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  New York),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  North Carolina),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  North Dakota),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Ohio),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Oklahoma),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Oregon),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Pennsylvania),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Rhode Island),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  South Carolina),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  South Dakota),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Tennessee),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Texas),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Utah),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Vermont),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Virginia),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Washington),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  West Virginia),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Wisconsin),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Wyoming),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  State unknown),On campus  other expenses 2012-13 (IC2012_AY),Off campus (not with family)  other expenses 2012-13 (IC2012_AY),Off campus (with family)  other expenses 2012-13 (IC2012_AY),On campus  other expenses 2012-13 (IC2012_PY),Off campus (not with family)  other expenses 2012-13 (IC2012_PY),Off campus (with family)  other expenses 2012-13 (IC2012_PY),Grand total (EF2012B_RV  Undergraduate  Age 25 and over total),
138947,Clark Atlanta University,161,GA,13,2,71,631,17,,2,3,49,6,9,2,4,38,195,,,28,4,1,4,1,8,,25,2,17,6,1,9,,3,1,,15,,48,15,,17,,2,26,,9,,19,24,,,11,4,,6,,,3465,,,,,,73,
218724,Coastal Carolina University,106,SC,45,1,38,2182,1,,1,,7,5,59,10,3,10,14,,,20,5,2,1,19,1,3,165,100,11,3,,5,1,3,1,16,179,,136,61,,38,,1,117,5,1019,1,7,6,,6,125,1,10,3,,1,3651,4129,4353,,,,743,
127556,Colorado Mesa University,159,CO,8,1,40,2085,,15,21,,41,1834,2,,,1,,47,1,4,,,4,,1,,,,3,1,,5,1,4,12,1,2,8,6,,2,1,1,8,1,1,,2,,12,15,1,1,8,,2,16,,2924,2924,2582,,,,2369,
126775,Colorado School of Mines,159,CO,8,1,18,914,1,10,4,,34,573,3,,,8,2,4,2,8,3,5,11,1,,,3,4,4,7,,5,3,9,7,3,2,9,2,3,,8,15,2,3,,,,4,119,1,,7,17,,4,4,,2425,2565,2500,,,,263,
128106,Colorado State University Pueblo,159,CO,8,1,41,907,,,13,,38,781,2,,,8,,8,1,4,,2,1,,1,,2,1,,,,2,1,2,,,1,8,,2,,,2,,3,,,1,,14,1,1,1,4,,1,1,,3448,3448,3304,,,,1323,
126818,Colorado State University-Fort Collins,203,CO,8,1,26,4525,1,16,39,2,197,3571,9,,1,12,11,31,9,92,6,5,18,1,2,4,14,12,7,38,1,17,4,15,26,10,14,41,10,8,4,18,6,16,16,2,3,11,5,107,11,1,18,41,,11,11,,2232,2232,2232,,,,2467,
237330,Concord University,163,WV,54,1,47,559,,1,,,,,2,1,1,2,,,,,2,,,1,,,13,,2,,,,,,,,,,2,4,,4,,,5,,,,1,,,,57,,461,,,,2944,,,,,,,
173328,Concordia University-Saint Paul,155,MN,27,2,35,180,,,1,1,1,1,,,,,1,,,7,1,3,,,,,,,,140,,,,,,,,,1,,1,,,,,,,1,,1,,,,,,20,,,2532,3032,2096,,,,658,
169479,Davenport University,-2,MI,26,2,53,614,,,1,,1,1,1,,,1,1,,,9,4,,1,1,,,3,,580,,,,,,,,,,,,,6,,,,,,,,,,,1,,,3,,,2849,3902,3902,,,,,
175616,Delta State University,146,MS,28,1,49,374,5,,1,7,1,,,,,6,4,,,1,,,,2,17,,,,1,,296,2,,,,,1,,,,,2,,,1,,2,,23,1,,,,1,,,,,3925,3925,11025,,,,786,
198464,East Carolina University,111,NC,37,1,32,4004,,,1,,4,,19,15,4,10,9,,,3,1,1,,,,1,109,33,2,1,1,1,,,,4,122,,35,3335,,13,,,54,4,6,,,3,,4,192,1,,3,,13,4669,4669,4669,,,,3455,
207041,East Central University,367,OK,40,1,48,612,,,1,1,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,565,,,,,,,34,,,,,,1,,7,4154,5516,5516,,,,1042,
212115,East Stroudsburg University of Pennsylvania,158,PA,42,1,30,1265,,,,,,,2,4,,,2,,,,,,1,1,,,,1,1,1,,,,,,1,254,,96,,,,,,898,,,,,,,,1,,2,,,,2728,4462,4242,,,,539,
169798,Eastern Michigan University,119,MI,26,1,45,2592,1,,1,,11,1,1,,,8,5,2,,59,24,,1,1,,,8,2,2110,1,,1,1,,,2,2,,4,3,,323,3,,6,,,,3,2,1,,,1,,1,,3,2158,2498,3258,,,,5257,
187648,Eastern New Mexico University-Main Campus,147,NM,35,1,41,702,,,5,,12,7,1,,,,,,1,2,,,1,,1,,,1,,,,2,,,1,,1,572,,,,,,1,,,,,1,85,,,2,3,,1,1,1,4375,4375,4375,,,,,
212160,Edinboro University of Pennsylvania,158,PA,42,1,46,1221,,1,,,,,,3,2,2,1,,,,1,,,,,2,9,,3,,,,,,,3,5,,81,,,74,,,1028,1,,,,1,,,2,,1,,,1,2150,2150,2150,,,,866,
133526,Edward Waters College,337,FL,12,2,84,221,3,,1,,,,,,2,193,,,,2,,,,,,,9,,,1,2,,,,,,1,,2,,,,,,,,4,,,,,,1,,,,,,3904,4986,4986,,,,,
198507,Elizabeth City State University,140,NC,37,1,70,527,,,,,,,1,,20,1,3,,,,1,,,,,,9,,1,,,,,,,,6,,3,449,,1,,,2,,2,,,,,1,27,,,,,,1000,1000,550,,,,505,
232025,Emory & Henry College,192,VA,51,2,40,240,,,,,2,,,1,,4,6,,,1,,,,1,,,3,1,,,,,,,,,1,,2,28,,1,,,3,,3,,29,1,,,151,1,1,,,,2796,3796,4396,,,,19,
155025,Emporia State University,148,KS,20,1,39,602,,,1,,,3,,,,1,,,,1,1,,552,1,,,,,,,,12,,4,1,,,,,1,,,12,1,,,,,,11,,,,,,,,,3510,3510,3510,,,,698,
217998,Erskine College,-2,SC,45,2,36,142,,,,,,,,,,9,8,,,1,,,,,,,,1,,,,,,,,,,,2,13,,1,,,,,98,,1,1,1,,,,1,1,,4,3800,1250,11400,,,,4,
237367,Fairmont State University,163,WV,54,1,48,734,,,,,,1,,,4,8,1,,,,,,,1,,,19,3,,,,,,,,,2,,,2,,15,,,12,,,,,,,,3,,663,,,,2500,,,,,,1197,
198543,Fayetteville State University,140,NC,37,1,59,610,,,,,1,1,,,7,1,2,,,,1,,,,,,5,,1,,,,,,,,,,3,573,,2,,,,,1,,,2,,,4,,,,,6,2216,2216,2216,,,,2307,
169910,Ferris State University,144,MI,26,1,41,2112,1,,,,4,3,,,,3,1,,,58,18,2,,,,,,1,1978,3,,1,,,,1,1,,8,,,17,,,1,,,,,,,,2,,1,8,,,1946,1946,2472,,,,3308,
133669,Florida Atlantic University,134,FL,12,1,40,2962,,,1,,7,1,13,,,2753,8,,,8,4,,,2,,,9,3,8,3,,4,,2,,1,42,,33,3,1,4,,,15,3,7,,1,11,,2,7,,,,,6,3950,5335,5335,,,,7275,
133951,Florida International University,134,FL,12,1,58,3847,1,,2,,6,3,4,1,,3675,15,,,7,2,,3,,4,1,9,4,3,2,,3,,,2,1,20,,21,2,,3,,1,4,3,,,1,4,,,6,2,,,,32,4380,5188,7166,,,,10095,
155061,Fort Hays State University,148,KS,20,1,28,1011,3,1,1,1,3,80,1,1,,14,6,1,1,5,2,,760,1,1,,1,,2,,12,12,,48,,2,1,1,,3,,7,9,,3,,,,3,21,,,2,1,,1,,,3976,3976,3976,,,,3252,
127185,Fort Lewis College,159,CO,8,1,32,850,,31,66,,37,466,1,1,,2,1,,4,10,,5,2,2,,2,6,4,4,10,,6,4,,4,2,1,97,1,,,3,21,8,1,,,5,2,20,10,1,,3,,6,1,,3684,4212,3148,,,,,
139719,Fort Valley State University,161,GA,13,1,77,656,2,,,,3,1,2,,,6,610,,,3,1,,,,1,,,,2,1,,1,1,,,,1,,4,2,,,1,,1,,4,,1,4,,,2,1,,1,,,4935,,,,,,420,
182795,Franklin Pierce University,342,NH,33,2,24,541,,,,,2,1,73,1,,1,,,1,,1,,,,,14,,221,2,1,,,,,1,115,12,,49,,1,,,,4,18,,,,3,,19,,1,,,,,2200,3200,3200,,,,,
162584,Frostburg State University,172,MD,24,1,35,811,1,,,,1,,,1,7,1,,,,,,,,,,,751,,,,,,,,,1,6,,3,,,,,,19,,,,,1,,,11,,7,,,1,1806,3406,3406,,,,468,
212601,Gannon University,158,PA,42,2,32,601,,,,,1,1,1,,,1,,,,1,1,,,,,1,3,1,4,1,,1,,,,,8,,69,,1,69,,,432,,,,,3,,,1,1,,,,,2292,2292,2292,,,,248,
139931,Georgia Southern University,131,GA,13,1,38,3556,,2,1,,1,1,3,,,45,3401,1,,7,2,1,2,1,,,7,5,1,1,,1,1,1,2,2,6,,3,8,,3,,,6,,21,,1,8,,,8,1,,2,,,5650,5650,5650,,,,1515,
139940,Georgia State University,110,GA,13,1,51,3207,10,1,1,,3,3,1,,,20,3098,,,2,2,,1,1,1,,7,,5,1,1,2,,2,,,4,,11,4,,4,,,2,,4,,4,6,,,4,1,,1,,,2384,4040,4040,,,,5924,
237385,Glenville State College,163,WV,54,1,41,399,2,,,,,,,1,29,3,2,,,,,,,,,,16,,,,,,,,,,,1,2,1,,8,,,2,1,,,,,,,35,,296,,,,4976,4976,5060,,,,669,
170082,Grand Valley State University,144,MI,26,1,36,3919,,1,,,2,,1,,,2,2,,,214,43,,,,,,2,,3603,3,,,,,1,,,,1,,,25,,,4,,,,3,3,,,1,,1,7,,,2330,2330,4880,,,,2286,
107044,Harding University,367,AR,5,2,26,990,30,4,4,257,12,12,2,1,,29,29,,1,29,11,4,9,15,11,3,1,3,12,9,12,64,1,1,1,2,4,4,10,10,,23,26,12,6,,8,1,105,185,1,,13,9,1,2,1,,3200,3200,3200,,,,,
107071,Henderson State University,367,AR,5,1,53,773,1,,,668,,,,,,3,1,,,,,,1,,8,1,,,,,,,,,,,,,,1,,2,7,,1,,,,2,77,,,,,,,,,4246,5646,4846,,,,567,
170286,Hillsdale College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
