college,college_scorecard,opeid,conference,division
University of Tulsa,University of Tulsa,318500,American Athletic Conference,NCAA FBS
University of Utah,University of Utah,367500,Pacific-12 Conference,NCAA FBS
University of Virginia,University of Virginia-Main Campus,374500,Atlantic Coast Conference,NCAA FBS
University of Washington,University of Washington-Seattle Campus,379800,Pacific-12 Conference,NCAA FBS
University of West Alabama,University of West Alabama,102400,Gulf South Conference,NCAA D2
University of West Florida,The University of West Florida,395500,Gulf South Conference,NCAA D2
University of West Georgia,University of West Georgia,160100,Gulf South Conference,NCAA D2
University of Wisconsin,University of Wisconsin-Madison,389500,Big Ten Conference,NCAA FBS
University of Wisconsin - Eau Claire,University of Wisconsin-Eau Claire,391700,Wisconsin Intercollegiate Athletic Conference,NCAA D3
University of Wisconsin - La Crosse,University of Wisconsin-La Crosse,391900,Wisconsin Intercollegiate Athletic Conference,NCAA D3
University of Wisconsin - Oshkosh,University of Wisconsin-Oshkosh,392000,Wisconsin Intercollegiate Athletic Conference,NCAA D3
University of Wisconsin - Platteville,University of Wisconsin-Platteville,392100,Wisconsin Intercollegiate Athletic Conference,NCAA D3
University of Wisconsin - River Falls,University of Wisconsin-River Falls,392300,Wisconsin Intercollegiate Athletic Conference,NCAA D3
University of Wisconsin - Stevens Point,University of Wisconsin-Stevens Point,392400,Wisconsin Intercollegiate Athletic Conference,NCAA D3
University of Wisconsin - Stout,University of Wisconsin-Stout,391500,Wisconsin Intercollegiate Athletic Conference,NCAA D3
University of Wisconsin - Whitewater,University of Wisconsin-Whitewater,392600,Wisconsin Intercollegiate Athletic Conference,NCAA D3
University of Wyoming,University of Wyoming,393200,Mountain West Conference,NCAA FBS
Upper Iowa University,Upper Iowa University,189300,Northern Sun Intercollegiate Conference,NCAA D2
Ursinus College,Ursinus College,338500,Centennial Conference,NCAA D3
Utah State University,Utah State University,367700,Mountain West Conference,NCAA FBS
Utica College,Utica College,288300,Empire 8 Athletic Conference,NCAA D3
Valdosta State University,Valdosta State University,159900,Gulf South Conference,NCAA D2
Valley City State University,Valley City State University,300800,North Star Athletic Association,NAIA
Valparaiso University,Valparaiso University,184200,Pioneer Football League,NCAA FCS
Vanderbilt University,Vanderbilt University,353500,Southeastern Conference,NCAA FBS
Vermilion Community College,Vermilion Community College,235000,NJCAA,JC
Victor Valley College,Victor Valley College,133500,"Foothill, South Coast",JC
Villanova University,Villanova University,338800,Colonial Athletic Association,NCAA FCS
Virginia Military Institute - VMI,Virginia Military Institute,375300,Southern Conference,NCAA FCS
Virginia State University,Virginia State University,376400,Central Intercollegiate Athletic Association,NCAA D2
Virginia Tech,Virginia Polytechnic Institute and State University,375400,Atlantic Coast Conference,NCAA FBS
Virginia Union University,Virginia Union University,376600,Central Intercollegiate Athletic Association,NCAA D2
Wabash College,Wabash College,184400,North Coast Athletic Conference,NCAA D3
Wagner College,Wagner College,289900,Northeast Conference,NCAA FCS
Wake Forest University,Wake Forest University,297800,Atlantic Coast Conference,NCAA FBS
Waldorf University,Waldorf University,189500,North Star Athletic Conference,NAIA
Walsh University,Walsh University,313500,Great Midwest Athletic Conference,NCAA D2
Warner University,Warner University,884800,Sun Conference,NAIA
Wartburg College,Wartburg College,189600,American Rivers COnference,NCAA D3
Washburn University,Washburn University,194900,Mid-America Intercollegiate Athletics Association,NCAA D2
Washington & Jefferson College,Washington & Jefferson College,338900,Presidents' Athletic Conference,NCAA D3
Washington & Lee University,Washington and Lee University,376800,Old Dominion Athletic Conference,NCAA D3
Washington State University,Washington State University,380000,Pacific-12 Conference,NCAA FBS
Washington University in St. Louis,Washington University in St Louis,252000,Collegiate Conference of Illinois & Wisconsin,NCAA D3
Wayland Baptist University,Wayland Baptist University,366300,Sooner Athletic Conference,NAIA
Wayne State College,Wayne State College,256600,Northern Sun Intercollegiate Conference,NCAA D2
Wayne State University,Wayne State University,232900,Great Lakes Intercollegiate Athletic Conference,NCAA D2
Waynesburg University,Waynesburg University,339100,Presidents' Athletic Conference,NCAA D3
Webber International University,Webber International University,154000,Sun Conference,NAIA
Weber State University,Weber State University,368000,Big Sky Conference,NCAA FCS
Wesley College,Wesley College,143300,New Jersey Athletic Conference,NCAA D3
Wesleyan University,Wesleyan University,142400,New England Small College Athletic Conference,NCAA D3
West Chester University of Pennsylvania,West Chester University of Pennsylvania,332800,Pennsylvania State Athletic Conference,NCAA D2
West Hills College - Coalinga,West Hills College-Coalinga,117600,Coast Valley Conference,JC
West Liberty University,West Liberty University,382300,Mountain East,NCAA D2
West Texas A&M University,West Texas A & M University,366500,Lone Star Conference,NCAA D2
West Virginia State University,West Virginia State University,382600,Mountain East,NCAA D2
West Virginia University,West Virginia University,382700,Big 12 Conference,NCAA FBS
West Virginia Wesleyan College,West Virginia Wesleyan College,383000,Mountain East Conference,NCAA D2
Western Carolina University,Western Carolina University,298100,Southern Conference,NCAA FCS
Western Colorado University,Western Colorado University,137200,Rocky Mountain Athletic Conference,NCAA D2
Western Connecticut State University,Western Connecticut State University,138000,Massachusetts State Collegiate Athletic Conference,NCAA D3
Western Illinois University,Western Illinois University,178000,Missouri Valley Conference,NCAA FCS
Western Kentucky University,Western Kentucky University,200200,Conference USA,NCAA FBS
Western Michigan University,Western Michigan University,233000,Mid-American Conference,NCAA FBS
Western New England University,Western New England University,222600,Commonwealth Coast Football,NCAA D3
Western New Mexico University,Western New Mexico University,266400,Lone Star Conference,NCAA D2
Western Oregon University,Western Oregon University,320900,Great Northwest Athletic Conference,NCAA D2
Westfield State University,Westfield State University,218900,Massachusetts State Collegiate Athletic Conference,NCAA D3
Westminster College - Missouri,Westminster College,252300,St. Louis Intercollegiate Athletic Conference,NCAA D3
Westminster College - Pennsylvania,Westminster College,339200,Presidents' Athletic Conference,NCAA D3
Wheaton College - Illinois,Wheaton College,178100,College Conference of Illinois and Wisconsin,NCAA D3
Wheeling University,Wheeling University,383100,Mountain East Conference,NCAA D2
Whittier College,Whittier College,134200,Southern California Intercollegiate Athletic Conference,NCAA D3
Whitworth University,Whitworth University,380400,Northwest Conference,NCAA D3
Widener University,Widener University,331300,Middle Atlantic Conferences,NCAA D3
Wilkes University,Wilkes University,339400,Middle Atlantic Conferences,NCAA D3
Willamette University,Willamette University,322700,Northwest Conference,NCAA D3
William & Mary,William & Mary,370500,Colonial Athletic Association,NCAA FCS
William Jewell College,William Jewell College,252400,Great Lakes Valley Conference,NCAA D2
William Paterson University of New Jersey,William Paterson University of New Jersey,262500,New Jersey Athletic Conference,NCAA D3
William Penn University,William Penn University,190000,Heart of America Athletic Conference,NAIA
Williams College,Williams College,222900,New England Small College Athletic Conference,NCAA D3
Williamson College of the Trades,Williamson College of the Trades,4123800,"NJCAA, NLLC, USCAA",JC
Wilmington College,Wilmington College,314200,Ohio Athletic Conference,NCAA D3
Wingate University,Wingate University,298500,South Atlantic Conference,NCAA D2
Winona State University,Winona State University,239400,Northern Sun Intercollegiate Conference,NCAA D2
Winston-Salem State University,Winston-Salem State University,298600,Central Intercollegiate Athletic Association,NCAA D2
Wittenberg University,Wittenberg University,314300,North Coast Athletic Conference,NCAA D3
Wofford College,Wofford College,345700,Southern Conference,NCAA FCS
Worcester Polytechnic Institute,Worcester Polytechnic Institute,223300,New England Women's & Men's Athletic Conference,NCAA D3
Worcester State University,Worcester State University,219000,Massachusetts State Collegiate Athletic Conference,NCAA D3
Yale University,Yale University,142600,Ivy League,NCAA FCS
Youngstown State University,Youngstown State University,314500,Missouri Valley Conference,NCAA FCS
