UnitID,Institution Name,NCAA/NAIA conference number football (IC2011_RV),State abbreviation (HD2011),FIPS state code (HD2011),Sector of institution (HD2011),Percent of undergraduate students awarded Pell grants (SFA1112_RV),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  US total),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Alabama),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Alaska),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Arizona),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Arkansas),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  California),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Colorado),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Connecticut),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Delaware),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  District of Columbia),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Florida),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Georgia),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Hawaii),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Idaho),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Illinois),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Indiana),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Iowa),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Kansas),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Kentucky),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Louisiana),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Maine),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Maryland),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Massachusetts),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Michigan),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Minnesota),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Mississippi),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Missouri),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Montana),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Nebraska),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Nevada),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  New Hampshire),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  New Jersey),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  New Mexico),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  New York),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  North Carolina),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  North Dakota),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Ohio),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Oklahoma),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Oregon),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Pennsylvania),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Rhode Island),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  South Carolina),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  South Dakota),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Tennessee),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Texas),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Utah),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Vermont),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Virginia),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Washington),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  West Virginia),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Wisconsin),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Wyoming),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  State unknown),On campus  other expenses 2011-12 (IC2011_AY_RV),Off campus (not with family)  other expenses 2011-12 (IC2011_AY_RV),Off campus (with family)  other expenses 2011-12 (IC2011_AY_RV),On campus  other expenses 2011-12 (IC2011_PY_RV),Off campus (not with family)  other expenses 2011-12 (IC2011_PY_RV),Off campus (with family)  other expenses 2011-12 (IC2011_PY_RV),Grand total (EF2011B_RV  Undergraduate  Age 25 and over total),
127556,Colorado Mesa University,159,CO,8,1,42,2174,,16,27,,54,1896,2,,,1,1,58,1,10,,,1,,,,3,1,1,3,3,6,8,3,4,,1,10,1,1,,2,2,2,,,1,2,,8,22,,1,3,,,19,,3518,3518,2582,,,,2505,
126775,Colorado School of Mines,159,CO,8,1,19,847,1,15,11,,25,522,1,1,,4,5,1,11,14,1,7,13,,3,,1,1,4,15,2,4,1,8,10,,2,9,5,3,,7,8,2,5,,2,,5,87,5,3,4,9,1,4,5,,1800,,,,,,248,
128106,Colorado State University Pueblo,159,CO,8,1,44,1054,,5,6,,43,912,1,,1,5,1,8,1,7,,,1,,3,,,,3,1,,5,1,1,2,,1,8,,1,,2,1,2,,,,,1,16,2,1,4,5,,,3,,3376,3394,3250,,,,1440,
126818,Colorado State University-Fort Collins,203,CO,8,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2232,2232,2232,,,,2464,
237330,Concord University,163,WV,54,1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3160,,,,,,475,
173328,Concordia University-Saint Paul,155,MN,27,2,35,197,,,,,1,,,,,,,,1,7,,3,,,,,,,2,160,,,,,,,,,,,,,,,2,,,2,,,,,1,2,,16,,,2074,2074,2028,,,,651,
169479,Davenport University,-2,MI,26,2,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3990,3990,3990,,,,5831,
175616,Delta State University,146,MS,28,1,48,325,9,,,8,1,1,,,,2,3,,,,,,1,,4,,,,,,273,,,,,,,,,,,2,,,,,1,,13,6,,,1,,,,,,4157,4157,11025,,,,754,
198464,East Carolina University,111,NC,37,1,33,3877,,,1,,2,1,26,5,1,6,4,1,,6,3,,1,,1,2,87,23,4,,1,,,,,5,83,,32,3325,,8,,,40,1,8,,,2,,1,174,,,,,23,4138,4138,4138,,,,3583,
207041,East Central University,367,OK,40,1,51,588,,1,1,,,,,,,,,,,,,1,1,,1,,,,,,,,,,1,,,,,,,,552,,,,,,,28,1,,,,,1,,,4216,5640,5640,,,,1156,
212115,East Stroudsburg University of Pennsylvania,158,PA,42,1,29,1409,1,,,,1,,1,6,,2,1,,,,,,,,,,2,,1,,,,,,,,296,,97,,1,,,,997,,,,,1,,,2,,,,,,2870,4202,4012,,,,610,
169798,Eastern Michigan University,119,MI,26,1,46,2114,1,,4,,13,1,,,,11,3,1,,42,15,1,1,2,1,1,1,,1774,,,,,1,,,2,,2,3,,212,1,2,5,,,,1,5,,,2,1,,1,,4,2158,2498,3258,,,,5447,
187648,Eastern New Mexico University-Main Campus,147,NM,35,1,44,684,2,3,3,,15,2,,,,2,,,,,,,2,,1,1,,1,,,,,,,2,,1,552,1,,,1,,,,4,1,1,,86,1,,,1,,1,,,4270,4270,4270,,,,1428,
212160,Edinboro University of Pennsylvania,158,PA,42,1,46,1499,1,,,,2,,1,1,1,4,1,,,,2,,,1,,1,11,3,,,,,,,,,8,,91,1,,107,,1,1258,,,,,,,,3,1,,,,,2150,,,,,,1058,
133526,Edward Waters College,337,FL,12,2,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3904,,,,,,154,
198507,Elizabeth City State University,140,NC,37,1,72,392,,,,,1,,,,7,,,,,,,,,,,,9,,,,,,,,,,5,,1,334,,1,,,1,,,,,,,,31,,,,,2,1000,1000,550,,,,507,
232025,Emory & Henry College,192,VA,51,2,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650,3796,3796,,,,26,
155025,Emporia State University,148,KS,20,1,41,577,,,,,1,3,,,,,,,,1,,2,525,,,,,,,,,17,,1,,,,,,,,,9,,,,1,1,,16,,,,,,,,,3950,3950,3950,,,,707,
217998,Erskine College,-2,SC,45,2,32,170,1,,,,,1,,,,5,10,,,,,,,,,,,,,,,,,,,,,,2,15,,1,,,1,,131,,,,,,3,,,,,,3500,1250,11400,,,,9,
237367,Fairmont State University,163,WV,54,1,49,737,,,,,,,2,3,5,13,,,,,,,,,,,15,,1,,,,,,,,1,,2,1,,10,,,14,,1,,,,,,25,,644,,,,2500,3500,3400,,,,1321,
198543,Fayetteville State University,140,NC,37,1,67,655,2,,,,,,,,7,3,6,,,1,,,1,,,,6,1,,,,,,,,,2,,3,604,,,,,2,,6,,,2,,,4,,,1,,4,1700,1700,1700,,,,2208,
169910,Ferris State University,144,MI,26,1,42,2087,,1,2,,,1,,,,2,,,,42,21,,,,,,2,,1978,4,,1,,,,,,,,,1,16,,,,,,,1,1,,1,,,,10,,3,1796,1796,2306,,,,3573,
133669,Florida Atlantic University,134,FL,12,1,40,3085,1,,,1,4,3,7,1,,2838,14,,,12,1,,,,,,12,10,6,1,2,2,,,1,1,47,,50,2,,4,1,,23,3,2,,1,10,,2,12,2,2,2,,5,3671,4546,4546,,,,7356,
133951,Florida International University,134,FL,12,1,59,3855,2,,1,1,7,4,4,,1,3670,16,1,,5,,2,1,,1,1,7,6,2,2,,1,,1,,1,24,,19,9,,3,1,2,3,,1,,3,6,2,,7,1,,3,,34,4252,5036,6958,,,,9710,
155061,Fort Hays State University,148,KS,20,1,27,1005,2,,5,,5,92,,1,1,5,3,1,1,5,1,,740,3,1,,1,,1,1,17,11,1,50,,,1,1,1,4,,3,10,,2,,1,1,1,28,,,1,1,,2,,,3928,3928,3928,,,,2966,
127185,Fort Lewis College,159,CO,8,1,33,779,1,20,65,,17,469,,,,3,2,1,2,13,3,4,2,,,,1,2,1,5,,3,3,1,2,4,1,66,3,2,,3,30,5,4,2,,4,1,19,5,,1,6,,1,2,,3684,4212,3048,,,,716,
139719,Fort Valley State University,161,GA,13,1,77,1080,6,,,1,5,,1,1,1,14,983,2,,10,1,,,,3,,3,,3,,2,1,,1,3,,2,,11,4,,2,,,1,,7,,3,6,,,2,1,,,,,4935,,,,,,455,
182795,Franklin Pierce University,342,NH,33,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,3200,3200,,,,362,
162584,Frostburg State University,172,MD,24,1,36,819,,,,,1,,2,2,6,,,,,,,,,,,,770,1,,,,,,,,,5,,4,,,,,,13,,,,1,,,,10,,4,,,,1786,3350,3350,,,,402,
212601,Gannon University,158,PA,42,2,34,650,,,,,3,,,,1,2,,,,3,,,,,1,1,7,,1,,,,,,,2,6,,71,,,64,,,482,1,,,,1,,,3,,,1,,,2228,2228,2228,,,,253,
139931,Georgia Southern University,131,GA,13,1,38,3505,2,4,,,5,1,3,,1,36,3356,1,,7,2,,,1,,1,6,1,5,2,2,3,,,,1,2,,4,17,,7,1,,1,1,14,,1,5,,1,8,1,,1,1,,5650,,,,,,1399,
139940,Georgia State University,110,GA,13,1,51,2712,10,,,,5,2,,1,2,9,2640,,,2,2,,1,2,1,,3,1,,,2,3,,,,,4,,3,3,,6,1,,2,1,2,,1,1,,,2,,,,,,2398,4040,4490,,,,6002,
237385,Glenville State College,163,WV,54,1,43,354,,,,,,,,,20,,1,,,,,,,,,,11,,2,,,,,,,,1,,1,1,,9,,,,,,,,,,,22,,285,1,,,4914,4914,4914,,,,707,
170082,Grand Valley State University,144,MI,26,1,37,3835,,,,,3,1,,1,,2,,,,196,32,,,1,,,1,,3556,1,,1,,,,,2,1,3,1,,19,,1,2,,,,,1,,,3,1,,6,,,2330,2330,4830,,,,2411,
107044,Harding University,367,AR,5,2,27,966,39,2,3,263,16,9,3,,,17,18,1,3,21,18,,6,20,8,4,6,6,13,3,16,56,1,1,,2,2,4,7,14,,26,30,3,5,1,6,3,122,160,,,10,11,3,4,,,3200,3200,3200,,,,285,
107071,Henderson State University,367,AR,5,1,54,825,1,,,723,1,,,,,1,,,,,,,,,11,,,,,,1,,,,,,,,1,,,1,5,,1,,,,7,72,,,,,,,,,4236,5636,4836,,,,597,
170286,Hillsdale College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213020,Indiana University of Pennsylvania-Main Campus,158,PA,42,1,38,2914,,,,,1,2,1,1,4,4,1,,,3,1,,1,,1,,56,2,2,,,2,,,,,62,,15,,,16,,1,2667,,,,2,1,,1,60,3,3,,1,,3115,,,,,,924,
151351,Indiana University-Bloomington,107,IN,18,1,20,6722,2,,4,1,127,14,42,1,2,56,29,2,2,879,4619,1,13,35,5,1,39,22,62,46,1,67,,3,1,1,104,1,144,9,,136,4,2,59,3,5,,29,56,2,1,32,4,1,26,2,25,3282,,,,,,1301,
153603,Iowa State University,108,IA,19,1,24,4789,,,7,1,29,31,,2,1,10,7,4,,549,9,3105,22,1,,2,4,4,17,615,1,34,,65,,1,4,1,9,2,5,15,2,2,4,,,13,2,81,,1,5,5,,109,1,7,2370,2370,2370,,,,1571,
198756,Johnson C Smith University,140,NC,37,2,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3500,3500,,,,173,
155399,Kansas State University,108,KS,20,1,26,3522,2,2,2,3,24,55,2,,1,9,3,6,1,41,7,9,2936,3,1,2,7,4,9,20,,145,3,35,3,1,13,3,9,4,,4,20,1,7,,3,5,7,80,1,1,9,3,,9,2,5,3674,3674,4272,,,,2003,
203517,Kent State University at Kent,119,OH,39,1,37,4181,,2,,1,11,2,9,2,9,8,4,,1,43,13,1,2,4,,1,31,7,29,1,1,3,,1,3,1,24,,86,4,1,3477,,2,343,,2,,1,9,,2,15,1,6,6,,12,4564,,,,,,3475,
157058,Kentucky State University,161,KY,21,1,62,554,,,,,6,2,,,4,2,10,,,105,57,,,197,,,3,,75,,,3,,,1,,,,3,,,76,,,,,,,3,,,,1,,2,4,,,4532,4532,4994,,,,561,
157076,Kentucky Wesleyan College,342,KY,21,2,50,188,,,,1,,,,1,,4,1,,,1,22,,,135,,,,1,3,,,,,,,,2,,2,3,,4,,,1,,,,2,5,,,,,,,,,2090,4240,4240,,,,54,
213349,Kutztown University of Pennsylvania,158,PA,42,1,31,2030,,,,,1,,,7,1,,,,,,,,,,,2,11,,,,,,,,,,200,,18,,,1,,,1788,1,,,,,,,,,,,,,2600,2600,2600,,,,712,
203580,Lake Erie College,144,OH,39,2,38,203,,2,,,1,,,,,7,1,,,1,2,1,,,2,,3,,19,,,,,,,,1,,5,1,,135,,1,16,,,,,1,,,,1,2,1,,,3280,3510,3510,,,,79,
220598,Lane College,161,TN,47,2,91,599,19,,,6,2,,,,,4,27,,,69,5,,,11,,,,,30,,7,29,,,,,1,1,5,1,,7,,,1,,,,337,1,,,,2,,34,,,1450,1550,1550,,,,175,
198835,Lenoir-Rhyne University,160,NC,37,2,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850,2850,2850,,,,151,
218238,Limestone University,-2,SC,45,2,54,294,1,,1,,,,,,1,3,18,,,,1,1,1,,1,,13,1,5,1,,,,,1,,4,,10,23,,1,,,3,,176,,,,,2,13,,,,,13,4232,3807,8832,,,,2146,
213598,Lincoln University,141,PA,42,1,66,292,,1,,,8,1,1,15,18,5,3,,,1,,,,,,,33,1,2,,,,,,,1,40,,66,1,,,,,88,,1,,,1,,,3,2,,,,,3028,,,,,,117,
177940,Lincoln University,148,MO,29,1,62,624,,,1,,5,1,,,,3,8,,,94,3,,12,1,,,,,7,,2,460,,2,,,,,2,,,,2,,,,,,15,1,,,,,,5,,,3051,3342,3119,,,,709,
177968,Lindenwood University,148,MO,29,2,37,920,,,3,2,19,8,1,,,6,2,2,1,156,5,3,9,3,2,,1,,6,5,,609,1,2,2,2,1,,3,,,2,1,,5,,,,2,29,1,,4,2,,8,1,11,6200,7000,7000,,,,2463,
198862,Livingstone College,140,NC,37,2,87,336,2,,2,,2,1,5,1,10,6,4,,,4,1,,,,,,11,,9,,1,,,,,,7,,7,235,,,,,1,,13,,1,2,,,11,,,,,,2000,,,,,,86,
213613,Lock Haven University,158,PA,42,1,38,1233,,,,,,1,2,4,,,,,,,1,,,,,1,13,,,,,,,,,,37,,20,1,,,1,,1150,,,,,,,,1,,,,,1,2645,,,,,,458,
159391,Louisiana State University and Agricultural & Mechanical College,130,LA,22,1,20,5238,39,,4,10,29,19,7,1,2,60,81,1,1,24,1,7,4,7,4045,,19,10,8,3,45,16,,,2,,21,1,20,17,,13,4,3,15,1,3,1,32,606,,,41,6,2,5,,2,2890,3436,3436,,,,1521,
159647,Louisiana Tech University,137,LA,22,1,24,1611,3,,,24,4,1,,1,,3,8,1,1,2,2,,2,,1435,1,,,,1,5,,,,1,,2,,,2,,1,3,,,,1,,2,98,,,6,1,,,,,3429,3744,3699,,,,1585,
198899,Mars Hill University,160,NC,37,2,76,390,2,,,,1,1,2,,,19,24,,,1,2,1,,1,,,3,,2,1,,,,,3,,1,,1,264,,3,,1,3,,39,,9,1,,,4,,1,,,,1900,,,,,,216,
237525,Marshall University,111,WV,54,1,43,1991,,,,,4,1,4,2,7,24,7,,,5,3,1,,32,,1,32,3,4,,,1,,,,1,16,,7,17,,251,,,22,,4,,2,5,,,53,1,1481,,,,2232,2832,5782,,,,2032,
147013,McKendree University,145,IL,17,2,36,284,,,,,1,,,,,1,1,,,243,1,,,,,,,,,,,34,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,2190,2890,2840,,,,910,
213987,Mercyhurst University,158,PA,42,2,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,,,,,,677,
204024,Miami University-Oxford,119,OH,39,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5203,,,,,,340,
171100,Michigan State University,107,MI,26,1,25,6933,2,2,6,,43,11,12,1,3,24,14,5,,285,25,4,3,3,,2,25,16,6069,20,,4,1,2,4,2,48,1,59,12,,60,1,2,37,,4,,9,45,2,,21,4,2,28,10,,1800,1800,1800,,,,1548,
171128,Michigan Technological University,144,MI,26,1,26,1129,,8,2,,2,,1,,,2,1,,,34,5,2,,2,1,1,3,,830,80,,1,,1,,,1,,2,,,1,,2,,,,,,6,2,,1,,,136,1,1,2456,,,,,,308,
220978,Middle Tennessee State University,134,TN,47,1,44,3515,6,,,3,6,3,,,3,8,48,,,3,4,,1,14,1,,8,3,8,1,3,3,,,,,1,,3,5,,6,3,,4,,8,,3332,6,1,,16,1,1,2,,,3218,3218,3116,,,,5649,
226833,Midwestern State University,147,TX,48,1,39,624,,,,,2,,,,,1,,,,2,,,1,,,,1,,,1,,,,,,,,,1,,,1,3,,,1,2,,,605,,,3,,,,,,1536,,,,,,1569,
101675,Miles College,161,AL,1,2,85,394,201,,,,1,2,3,,2,22,38,,,33,4,,,1,7,,,2,,,,,,,,,1,,1,,,4,,,,,1,,12,,,,,,,1,,58,2768,2928,2928,,,,289,
214041,Millersville University of Pennsylvania,158,PA,42,1,30,1300,,,,,,,,5,1,3,2,,,,,,,,,,16,,,,,,,,,,26,,2,1,,,,,1237,1,,,,,,,6,,,,,,1888,,,,,,783,
174358,Minnesota State University Moorhead,155,MN,27,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2596,2596,2596,,,,1213,
173920,Minnesota State University-Mankato,155,MN,27,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2052,2698,2698,,,,1581,
200253,Minot State University,155,ND,38,1,25,411,1,1,,1,4,2,,,,9,,1,2,4,,,,,,,,,1,3,,1,25,,4,,,1,,,334,1,,1,1,,1,4,1,,,,1,5,,2,,,3300,,,,,,909,
176053,Mississippi College,204,MS,28,2,39,500,57,,1,5,5,,1,,,18,5,,,1,,,,2,45,,,2,,,284,4,,,,,1,,,2,,1,,,,,,,31,31,1,,1,1,,1,,,3375,4821,3334,,,,712,
176080,Mississippi State University,130,MS,28,1,36,2864,235,,1,20,6,1,2,2,,30,104,,,23,,,1,2,43,1,9,4,2,1,1967,8,1,,1,1,3,,7,4,1,9,1,1,1,,3,1,302,47,,,16,2,,1,,,4808,,,,,,2069,
178341,Missouri Southern State University,148,MO,29,1,60,766,1,,2,15,3,1,,,,3,,,,2,,,25,1,,,,,,2,,674,,,,,,,,,,1,26,1,,,,,,8,,,,,,1,,,3062,3888,3888,,,,1926,
178411,Missouri University of Science and Technology,342,MO,29,1,28,1087,,2,2,8,4,1,,,,,,1,,96,4,13,30,7,1,,,2,4,4,1,865,2,5,1,,,,,1,,1,5,,3,,,1,1,17,,,,2,1,2,,,3286,,,,,,429,
178387,Missouri Western State University,148,MO,29,1,43,1144,,,,,1,,,,1,,,,,4,,16,33,1,,,,,2,2,,1062,,14,,,,,,,,,1,,,,,,,1,,,3,1,,,,2,2600,2600,2600,,,,1513,
140553,Morehouse College,161,GA,13,2,51,492,13,,2,2,41,3,5,3,8,23,147,2,,15,2,1,3,1,9,,30,4,6,4,7,4,,,,,7,1,23,25,,10,,,10,,7,,27,29,,,11,3,,2,,2,5625,,,,,,118,
187897,New Mexico Highlands University,159,NM,35,1,57,410,,,10,,63,14,,1,,,,,,2,2,,1,,,,,,,,,,,,4,,3,287,1,2,,,,1,,,,,,9,2,,,7,,,1,,4406,4528,3740,,,,860,
218414,Newberry College,160,SC,45,2,47,274,,,,,8,,1,,,7,8,,,2,2,,,1,,,,,2,,,1,,,,,1,,1,10,,,,1,,,220,,2,2,1,,4,,,,,,4000,4000,4000,,,,72,
218441,North Greenville University,141,SC,45,2,40,538,1,,,,,,,,,8,17,1,1,3,2,,,,,,2,3,,,,,1,,,,2,,,56,,3,,,5,,415,,6,,,2,5,,2,1,,2,6290,6290,6290,,,,100,
207263,Northeastern State University,148,OK,40,1,51,939,,,,17,4,,,,,,,,,,,,4,,,,,,,,,1,,,,,1,,1,,,,894,,1,,,,,15,1,,,,,,,,1570,4000,3840,,,,3203,
147703,Northern Illinois University,119,IL,17,1,42,2570,,,1,,7,1,2,,,4,1,,1,2470,8,3,3,,,,1,1,8,4,,9,,,1,,,,2,1,,6,,,1,,1,,3,1,,,1,,,29,,,3232,3232,3232,,,,2640,
171456,Northern Michigan University,144,MI,26,1,40,1731,1,1,3,,10,3,2,1,1,3,2,2,,156,7,3,,2,,,,2,1285,56,1,2,3,,1,1,4,,3,,1,7,,,2,1,1,,,4,,2,2,,1,150,,5,1559,1559,1559,,,,1617,
219259,Northern State University,155,SD,46,1,26,397,,,7,,3,2,,,,2,1,,,,,2,,,,,,1,,48,,,3,3,1,,,,,,23,,,,,,,288,,4,,,,2,,6,1,,3500,3500,3500,,,,572,
178624,Northwest Missouri State University,148,MO,29,1,35,1565,,,1,1,2,3,,,,,1,,,13,,175,41,,,,1,1,2,2,,1166,,140,1,,1,,1,2,,,,1,,,,2,,5,,,1,1,,1,,,2617,2617,2617,,,,294,
207306,Northwestern Oklahoma State University,355,OK,40,1,46,410,6,,2,1,1,3,,,,6,1,,1,,1,1,22,,,,,1,1,,,,,,,,,,1,,,,324,,,,2,3,,25,,,2,,,3,,3,3600,2500,2000,,,,436,
147767,Northwestern University,107,IL,17,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2269,,,,,,734,
171492,Northwood University,144,MI,26,2,36,314,,,,,1,,1,,,9,1,,,8,3,1,,,,,,,261,,,,,,,,1,,2,1,,18,,,4,,,,,1,,,2,,,,,,2346,3186,3186,,,,1411,
204468,Notre Dame College,141,OH,39,2,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410,,,,,,406,
204617,Ohio Dominican University,144,OH,39,2,30,312,,,,,,,,,,6,2,,,5,5,,,1,,,,,5,,,,,,,,,,,,,285,,,2,,,,,1,,,,,,,,,2070,3620,3620,,,,625,
204796,Ohio State University-Main Campus,107,OH,39,1,24,6700,5,1,11,2,70,17,28,4,7,26,24,6,,178,30,7,9,18,2,5,47,23,63,21,4,19,,1,7,5,64,1,122,19,1,5513,1,7,132,2,5,2,20,73,,1,51,14,8,23,,1,4752,4752,6264,,,,3951,
204857,Ohio University-Main Campus,119,OH,39,1,24,3800,1,1,1,,7,1,8,,4,7,1,,,31,11,,2,12,1,,33,7,9,5,,2,,3,,2,13,,27,8,,3384,,,172,1,3,,2,5,1,1,17,,15,2,,,2769,,,,,,4757,
207403,Oklahoma Baptist University,-2,OK,40,2,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3644,,,,,,218,
207388,Oklahoma State University-Main Campus,108,OK,40,1,31,3861,1,1,6,38,29,23,4,2,1,9,5,,,32,8,3,95,4,1,1,1,4,5,,1,49,4,9,2,,5,13,6,2,,5,2562,,3,1,4,3,4,902,,1,6,3,1,2,,,4540,4540,4540,,,,2507,
232982,Old Dominion University,110,VA,51,1,32,2721,,1,,,5,1,5,6,10,6,3,1,,,,,1,,,1,61,4,1,4,,1,,1,,3,40,,17,10,,2,,,25,2,3,,,1,,2,2407,,,2,,95,2875,2875,2875,,,,5102,
209542,Oregon State University,127,OR,41,1,34,3392,1,15,15,,332,16,1,,2,4,3,78,29,8,1,,1,1,1,,5,4,5,1,,2,2,1,29,,2,1,3,3,,1,6,2560,2,,1,2,1,19,9,1,7,206,1,5,,5,2577,2577,2577,,,,3487,
