UnitID,Institution Name,NCAA/NAIA conference number football (IC2016),State abbreviation (HD2016),FIPS state code (HD2016),Sector of institution (HD2016),Percent of undergraduate students awarded Pell grants (SFA1617_RV),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  US total),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Alabama),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Alaska),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Arizona),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Arkansas),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  California),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Colorado),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Connecticut),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Delaware),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  District of Columbia),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Florida),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Georgia),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Hawaii),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Idaho),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Illinois),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Indiana),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Iowa),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Kansas),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Kentucky),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Louisiana),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Maine),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Maryland),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Massachusetts),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Michigan),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Minnesota),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Mississippi),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Missouri),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Montana),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Nebraska),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Nevada),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  New Hampshire),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  New Jersey),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  New Mexico),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  New York),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  North Carolina),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  North Dakota),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Ohio),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Oklahoma),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Oregon),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Pennsylvania),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Rhode Island),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  South Carolina),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  South Dakota),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Tennessee),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Texas),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Utah),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Vermont),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Virginia),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Washington),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  West Virginia),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Wisconsin),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  Wyoming),First-time degree/certificate-seeking undergraduate students (EF2016C_RV  State unknown),On campus  other expenses 2016-17 (IC2016_AY),Off campus (not with family)  other expenses 2016-17 (IC2016_AY),Off campus (with family)  other expenses 2016-17 (IC2016_AY),On campus  other expenses 2016-17 (IC2016_PY),Off campus (not with family)  other expenses 2016-17 (IC2016_PY),Off campus (with family)  other expenses 2016-17 (IC2016_PY),Grand total (EF2016B_RV  Undergraduate  Age 25 and over total),
126182,Adams State University,159,CO,8,1,52,457,1,3,18,,21,315,1,,,3,,1,,,,1,2,,,,1,,1,1,,1,,1,9,,,51,,1,,1,,2,,,,,,14,1,,3,4,,,,,2763,2763,2610,,,,557,
138716,Albany State University,161,GA,13,1,58,442,7,,,,,,,,1,33,387,1,,1,,,,,,,2,,,,,,,,1,,,,2,1,,1,,,1,,2,,,1,,,,,,1,,,3110,3860,3860,,,,539,
237118,Alderson Broaddus University,371,WV,54,2,46,248,,,3,,2,,,,,12,3,,,2,2,,,4,,,15,,4,,,,,,,,11,1,8,3,,36,,,32,,,,3,5,,,23,3,76,,,,2822,3532,3532,,,,60,
217624,Allen University,-2,SC,45,2,85,138,2,,,,2,,,,1,4,18,,,2,,,,,,,2,,,,,,,,,,2,,2,2,,1,,,,,98,,,,,,2,,,,,,2000,2000,3200,,,,,
164447,American International College,153,MA,25,2,48,295,,,,,4,2,56,1,,,,,,1,,,,,,3,1,149,1,1,,,,,,4,28,,32,1,,,,,1,3,,,,4,1,,,1,,1,,,1660,3290,3290,,,,,
222831,Angelo State University,147,TX,48,1,31,1510,1,,1,,2,1,,,,4,2,,1,,,,,,3,,,,,2,,,,,1,,,,1,1,,,,,1,,,,,1487,,,1,,1,,,,3480,3480,3480,,,,690,
197869,Appalachian State University,134,NC,37,1,28,3113,4,,,1,2,2,4,6,,46,50,,,2,3,2,1,1,3,,11,2,4,1,,4,,,1,2,9,,,2811,,5,1,,10,,52,,16,7,,,44,3,,3,,,2986,3286,3286,,,,1206,
104151,Arizona State University Campus Immersion,127,AZ,4,1,29,7552,6,13,4880,3,795,115,19,4,1,40,26,36,29,198,32,19,24,11,6,2,39,40,44,80,3,40,9,10,73,11,74,81,69,22,10,50,6,46,83,6,10,21,17,178,17,1,46,122,,70,7,8,3404,4708,4386,,,,4718,
106458,Arkansas State University,134,AR,5,1,41,1519,6,,,1319,2,2,1,,,,7,,,7,,,1,2,5,,1,,3,,5,95,,,,,2,1,,1,,,3,,2,,2,,35,15,,,,1,,1,,,4131,5202,5202,,,,1908,
106467,Arkansas Tech University,367,AR,5,1,39,1858,3,,,1780,3,1,,,,1,,,,,,,3,,5,,,,,,,2,,,,,,,1,,,,16,,,,,,2,41,,,,,,,,,2996,4766,3616,,,,2094,
201104,Ashland University,144,OH,39,2,31,623,1,,1,,2,,,,,2,1,,1,2,2,,,2,,,1,,10,,,,,,,,1,,3,,,562,,2,8,,,,2,2,,,1,,,,,17,2596,3728,3728,,,,,
164562,Assumption University,153,MA,25,2,20,565,,,,1,3,,72,,,5,1,1,,,,,,,,10,2,352,2,,,,,,,31,13,,30,,,1,,,2,32,,,,1,,2,2,2,,,,,1800,1800,1800,,,,,
100858,Auburn University,130,AL,1,1,15,4452,2687,1,7,4,39,15,17,3,,258,626,1,3,57,11,3,,22,17,1,44,12,6,7,12,14,1,,,3,32,,11,83,,23,2,,27,,56,,148,122,,,60,7,2,8,,,5664,5664,5664,,,,857,
219000,Augustana University,155,SD,46,2,19,390,,,1,,6,5,,,,5,,,1,2,,21,2,,,,,,2,121,,2,,28,1,,,1,,,3,,,,,,,180,,3,,,,1,,5,,,1400,1700,1400,,,,85,
150136,Ball State University,119,IN,18,1,33,3876,,,,,5,2,,1,,7,4,,1,327,3206,1,2,13,2,1,3,1,61,6,1,24,,2,,1,1,1,5,1,,151,,2,10,,1,,1,3,,,3,,,26,,,3030,3030,4460,,,,1018,
197911,Barton College,-2,NC,37,2,51,226,,,,,2,2,3,1,,4,2,,,1,2,,1,,,,3,,,,,,,,,,3,,2,174,,5,2,,1,,3,,,1,,,13,,1,,,,4400,4400,4400,,,,169,
223232,Baylor University,108,TX,48,2,18,3404,17,1,42,30,286,100,7,2,,41,39,7,3,72,14,5,34,6,41,1,9,7,10,31,9,29,8,7,11,3,7,14,7,21,,9,40,19,18,,4,2,42,2266,2,,30,34,1,6,3,7,3970,4430,3824,,,,295,
173124,Bemidji State University,155,MN,27,1,31,807,,3,2,,3,3,,,,2,2,,,6,,2,2,,,,1,,,709,,,,3,,,,1,1,,24,,,2,,,,4,,2,,1,,,,34,,,3000,3000,3000,,,,,
217721,Benedict College,161,SC,45,2,81,590,6,,1,,16,,4,,18,13,113,,,10,3,,,,,,7,,2,,,,,,2,,14,,8,12,,1,,1,5,,350,,,,,,3,,,,,1,2150,8390,8390,,,,211,
164739,Bentley University,153,MA,25,2,13,905,,1,,1,19,3,101,1,,10,1,1,,4,,,1,1,,39,6,361,4,5,,2,1,,,40,69,,155,3,,1,,1,15,18,1,,,6,2,8,4,,,1,,19,1200,1200,5485,,,,,
219046,Black Hills State University,159,SD,46,1,28,587,,2,,,6,36,,,,3,,,,,1,2,,,,,,,,6,,2,12,15,2,,3,,,1,15,3,,,,,,383,,4,,,,2,,,84,5,4300,4300,4300,,,,,
211158,Bloomsburg University of Pennsylvania,158,PA,42,1,32,1897,,,,,1,,7,7,1,1,1,,,,,,,,,,16,,1,,,,,,,,98,,31,1,,2,,,1725,,,,,,,1,4,,,,,,3140,3140,12052,,,,438,
237215,Bluefield State College,-2,WV,54,1,57,225,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,20,,199,,,,,4000,4000,,,,469,
142115,Boise State University,203,ID,16,1,28,2597,,20,24,1,506,32,,,,5,2,8,1484,6,1,3,,,,,2,3,5,5,,4,23,1,74,,,3,2,2,2,2,1,81,2,,,1,1,19,17,,4,237,,1,12,1,3364,4030,2708,,,,,
162007,Bowie State University,140,MD,24,1,50,960,,,,,2,,,2,33,1,2,,,1,,,,,,,889,,,,,,,,,,3,,13,,,1,,,1,,,,,,,,10,,,,,2,1600,1600,1600,,,,,
201441,Bowling Green State University-Main Campus,119,OH,39,1,28,3504,1,,3,,6,5,6,1,1,7,3,1,,57,28,2,,3,,1,5,6,163,2,,8,,,,1,7,1,21,4,,3086,,,43,2,,,1,15,,,5,1,2,4,,2,3604,4790,4494,,,,945,
110556,California State University-Fresno,203,CA,6,1,57,3245,1,,1,,3212,3,,,,4,1,2,,,,,1,,,,,,,,,,,,3,,,,,,,,1,2,1,,,,,4,3,,1,5,,,,,2254,2658,2524,,,,3400,
211361,California University of Pennsylvania,158,PA,42,1,40,894,,,,,2,2,,1,3,,1,,,1,,1,,,,,17,,,,,,,,,,12,,10,,,8,,,832,,,,,,,,3,,1,,,,4350,4350,6250,,,,1200,
219806,Carson-Newman University,160,TN,47,2,41,493,2,,,,1,1,,2,,10,24,,,3,,,,6,,,1,,1,2,,1,,,,,,,,22,,3,,,3,,13,,385,1,,,9,,3,,,,3370,3204,4804,,,,85,
198215,Catawba College,160,NC,37,2,41,337,1,,,,1,,,2,1,11,14,,,,,,,,,,8,,1,,,,,,,1,2,1,,260,,1,,,2,,17,,2,1,,,10,,1,,,,3113,3113,3113,,,,,
169248,Central Michigan University,119,MI,26,1,34,3497,1,2,1,1,7,3,1,1,,6,5,1,,153,23,2,,1,,,9,2,3206,5,,2,,2,,1,2,,,2,,13,,3,13,,,1,2,10,,,2,,,14,,,938,938,938,,,,2596,
201690,Central State University,161,OH,39,1,78,623,1,,,,1,,1,2,4,1,4,,,129,43,,,2,,,,,130,2,,2,,,1,,3,,,,,281,,,4,,,,,1,,,1,,,10,,,1500,2400,2400,,,,,
234827,Central Washington University,213,WA,53,1,36,1908,,13,4,1,30,3,,,,,1,21,13,,,1,,,,,,1,,,,,4,1,7,,,1,,1,,,,27,1,,,,,1,2,,,1775,,,,,3012,3012,3012,,,,2034,
180948,Chadron State College,159,NE,31,1,35,380,,1,3,,8,62,,,,4,,,2,,,,,,,,,,1,,,1,3,197,,,1,1,,1,,,,,,,1,50,1,,1,1,2,3,,1,35,,4824,4824,1944,,,,533,
198303,Chowan University,140,NC,37,2,74,490,,,1,,5,,,1,,6,8,,,,1,,,,,,46,,2,,,,,,1,,1,,6,278,,1,,,2,,7,,,2,,,122,,,,,,1664,1664,1664,,,,102,
211644,Clarion University of Pennsylvania,158,PA,42,1,39,940,,,,,4,,1,,1,2,1,,,2,1,,,,,,19,1,1,1,1,,,,,,5,,7,1,,20,1,,860,,,,,1,,,9,,,1,,,3596,3596,3596,,,,825,
138947,Clark Atlanta University,161,GA,13,2,69,984,23,,,4,68,6,14,9,21,60,279,,,109,12,1,1,8,13,,47,5,34,6,9,7,,,3,,19,,48,22,,23,1,2,33,2,12,,31,29,1,,12,6,,4,,,3065,,,,,,143,
218724,Coastal Carolina University,134,SC,45,1,36,2224,3,1,1,1,6,4,56,23,,11,34,,,17,7,2,4,21,1,4,134,111,9,5,,6,,2,,31,141,,116,105,1,51,1,1,140,3,988,,12,3,1,9,142,2,7,7,,,3768,4184,4464,,,,718,
127556,Colorado Mesa University,159,CO,8,1,36,1996,,11,19,,94,1618,2,4,,2,3,48,2,16,5,,3,,,,2,1,9,21,,4,3,2,10,1,1,7,4,2,2,3,2,8,2,,1,2,,14,29,,3,8,1,7,18,2,2764,2764,2610,,,,1944,
126775,Colorado School of Mines,159,CO,8,1,15,935,2,12,21,3,61,508,3,1,,3,3,3,5,26,7,2,10,1,6,2,4,9,4,12,2,5,6,11,8,3,2,11,2,5,,4,11,6,1,,1,2,1,99,6,1,3,25,,6,2,4,1865,2610,2500,,,,310,
128106,Colorado State University Pueblo,159,CO,8,1,36,829,,2,13,2,39,669,1,,,7,,8,,3,,,3,,1,,,,1,3,,1,3,1,2,,1,19,1,1,,2,,3,2,,,,,25,5,,1,7,,2,1,,4340,4340,4340,,,,1015,
126818,Colorado State University-Fort Collins,203,CO,8,1,23,4927,3,11,38,2,260,3784,13,2,1,17,15,14,12,92,16,6,21,2,5,4,22,29,9,42,1,25,3,19,21,7,23,39,23,9,5,14,13,16,23,2,3,10,5,124,15,5,19,54,1,15,13,,1360,1360,1360,,,,,
237330,Concord University,370,WV,54,1,49,459,,,,,,,1,1,,2,,,,1,,,,,,,5,1,,,,,,,,,1,,1,10,,3,,,2,,,,2,,,,36,,393,,,,2944,2944,2944,,,,320,
173328,Concordia University-Saint Paul,155,MN,27,2,32,238,,,1,,2,,,,,10,1,,,5,,1,,,,,,,2,184,1,2,,,1,,,,,1,,,,,,,,4,,2,,,,,,18,,3,2000,2000,2000,,,,,
169479,Davenport University,308,MI,26,2,40,627,,,,,1,1,,,,,,,,7,4,,,,,,,,589,1,,1,,,,,,,,,,8,,,2,,,,,2,,,,1,,1,,9,2318,3452,4348,,,,,
175616,Delta State University,146,MS,28,1,42,332,9,,,9,1,3,,,,3,5,,,5,,1,,1,12,,,1,1,,250,,,,,,1,,2,,,2,2,,1,,,,17,5,,,,,,1,,,4200,4200,4200,,,,400,
198464,East Carolina University,372,NC,37,1,34,4302,,,2,1,3,5,25,25,1,10,13,1,,8,2,,,1,1,,96,24,1,3,1,,,,1,3,103,,44,3625,,9,,1,62,5,6,,,3,1,3,206,1,,,,6,3644,3644,9771,,,,3418,
207041,East Central University,367,OK,40,1,42,464,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,415,,,,,,1,45,,,,,,,,,3010,5948,5788,,,,631,
212115,East Stroudsburg University of Pennsylvania,158,PA,42,1,37,1295,,,,,1,,2,7,,1,,,,,,,,,,,6,1,,,,,,,,,208,,97,,,,,,969,,,,,1,,,2,,,,,,2700,2913,4213,,,,580,
169798,Eastern Michigan University,119,MI,26,1,41,2765,1,,1,,5,2,,,,11,2,,,24,15,,,3,,1,5,,2350,1,,2,,1,1,,3,,5,3,,309,,,7,,,,,3,,,2,2,,5,,1,2240,2578,3340,,,,3908,
187648,Eastern New Mexico University-Main Campus,147,NM,35,1,33,625,,,8,1,8,8,,,,1,1,1,,1,,,1,,,,1,1,,,1,2,,,1,,1,479,,1,,1,3,,,,1,,,92,,,,1,,,,10,4498,4498,3665,,,,1204,
212160,Edinboro University of Pennsylvania,158,PA,42,1,44,1025,,,,,,,2,1,,3,,,,,,,,,,1,4,1,2,,,2,,,,,7,,74,,,52,,,872,,,,,,,,2,,1,1,,,2550,2550,2900,,,,663,
