UnitID,Institution Name,NCAA/NAIA conference number football (IC2015),State abbreviation (HD2015),FIPS state code (HD2015),Sector of institution (HD2015),Percent of undergraduate students awarded Pell grants (SFA1516_RV),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  US total),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Alabama),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Alaska),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Arizona),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Arkansas),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  California),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Colorado),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Connecticut),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Delaware),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  District of Columbia),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Florida),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Georgia),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Hawaii),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Idaho),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Illinois),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Indiana),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Iowa),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Kansas),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Kentucky),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Louisiana),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Maine),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Maryland),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Massachusetts),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Michigan),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Minnesota),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Mississippi),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Missouri),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Montana),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Nebraska),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Nevada),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  New Hampshire),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  New Jersey),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  New Mexico),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  New York),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  North Carolina),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  North Dakota),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Ohio),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Oklahoma),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Oregon),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Pennsylvania),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Rhode Island),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  South Carolina),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  South Dakota),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Tennessee),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Texas),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Utah),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Vermont),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Virginia),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Washington),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  West Virginia),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Wisconsin),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  Wyoming),First-time degree/certificate-seeking undergraduate students (EF2015C_RV  State unknown),On campus  other expenses 2015-16 (IC2015_AY),Off campus (not with family)  other expenses 2015-16 (IC2015_AY),Off campus (with family)  other expenses 2015-16 (IC2015_AY),On campus  other expenses 2015-16 (IC2015_PY),Off campus (not with family)  other expenses 2015-16 (IC2015_PY),Off campus (with family)  other expenses 2015-16 (IC2015_PY),Grand total (EF2015B_RV  Undergraduate  Age 25 and over total),
126182,Adams State University,159,CO,8,1,47,472,,1,17,,14,320,,,,3,,1,1,6,,,2,,,,4,,4,4,,2,,1,4,1,1,45,4,,,1,3,2,5,,,,,16,3,,2,5,,,,,2656,2656,2502,,,,471,
138716,Albany State University,161,GA,13,1,64,479,4,,,,,,,,,16,451,,,2,,,,1,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,2,,,,,,4270,4270,3726,,,,625,
237118,Alderson Broaddus University,308,WV,54,2,44,318,,1,,,2,,,2,,21,6,,,4,2,,,2,1,,28,2,2,,,,,,3,,9,,9,6,,43,,,42,1,,,,3,,1,22,,106,,,,3765,4249,4249,,,,55,
217624,Allen University,-2,SC,45,2,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2000,3200,,,,62,
164447,American International College,153,MA,25,2,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,3132,3132,,,,248,
222831,Angelo State University,147,TX,48,1,29,1237,1,,1,1,2,1,,,,1,,,,,,,,,3,,1,,1,1,,,,,,,,,,,,,3,,1,,,,1,1219,,,,,,,,,3480,3480,3480,,,,700,
197869,Appalachian State University,134,NC,37,1,29,3031,7,1,,,4,1,6,2,,37,40,,,5,2,,2,1,1,,20,2,5,1,,3,,,,2,8,1,11,2742,,6,,,7,2,46,,15,7,,1,37,,2,2,,2,2982,3282,3282,,,,1193,
104151,Arizona State University Campus Immersion,127,AZ,4,1,30,7443,5,10,4664,6,837,140,30,10,2,39,37,26,35,215,29,26,14,9,9,4,30,54,70,100,4,25,7,18,73,15,62,51,65,30,12,63,7,43,95,4,5,11,16,154,18,4,43,115,,83,8,11,3404,4708,4386,,,,5149,
106458,Arkansas State University,134,AR,5,1,44,1488,3,,,1321,2,1,,,,6,6,,,12,,,1,1,3,1,,1,1,,7,83,,,1,,,1,2,,,2,3,,,,,,15,13,,,,1,,1,,,4913,4913,4913,,,,1855,
106467,Arkansas Tech University,367,AR,5,1,42,1967,,,1,1906,2,,,,,1,,,,1,1,,,,2,,,,1,,1,4,,,,,1,,1,,,,10,,,,,,4,31,,,,,,,,,2996,4766,3616,,,,2375,
201104,Ashland University,144,OH,39,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2596,3728,3728,,,,1144,
164562,Assumption University,153,MA,25,2,22,547,,,,,5,2,80,,,3,1,,,,,,,,,11,4,352,1,,,1,,,,20,10,,27,,,1,,,4,22,,,,1,,,2,,,,,,1800,1800,1800,,,,208,
100858,Auburn University,130,AL,1,1,15,4841,2912,,4,6,59,15,14,2,1,290,669,4,1,53,14,,5,19,22,,44,17,9,6,13,15,1,,2,1,42,2,21,89,,26,4,3,31,2,56,,140,129,1,1,83,4,1,6,,2,5586,5586,5586,,,,931,
219000,Augustana University,155,SD,46,2,18,334,,,1,,,8,,,,2,1,,,1,,18,,,,,,1,,104,,,3,18,,,,,1,,4,,,,,,,162,,2,1,,1,1,,5,,,1400,1700,1400,,,,76,
150136,Ball State University,119,IN,18,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3206,3206,4746,,,,1161,
197911,Barton College,-2,NC,37,2,52,207,1,,,,1,,1,,,5,1,2,,1,1,,,,,,3,,,,,,,1,,,1,,2,166,,1,,1,1,,1,,,1,,1,15,,,,,,4400,4400,4400,,,,186,
223232,Baylor University,108,TX,48,2,18,3321,12,1,37,41,189,116,9,,,35,28,3,4,60,8,10,25,5,35,,14,7,9,38,5,40,1,12,9,2,16,7,11,18,1,14,45,19,12,,4,1,45,2297,3,2,20,33,,14,1,3,3962,3962,3216,,,,308,
173124,Bemidji State University,155,MN,27,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,2900,2900,,,,1159,
217721,Benedict College,161,SC,45,2,81,633,3,,1,,15,,9,1,23,5,138,,,13,2,,,,1,,15,,5,,,1,,,3,,25,,14,26,,1,,,,,330,,,,,,2,,,,,,2100,7842,7842,,,,199,
