UnitID,Institution Name,NCAA/NAIA conference number football (IC2018),State abbreviation (HD2018),FIPS state code (HD2018),Sector of institution (HD2018),Percent of undergraduate students awarded Pell grants (SFA1819),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  US total),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Alabama),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Alaska),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Arizona),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Arkansas),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  California),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Colorado),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Connecticut),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Delaware),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  District of Columbia),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Florida),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Georgia),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Hawaii),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Idaho),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Illinois),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Indiana),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Iowa),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Kansas),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Kentucky),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Louisiana),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Maine),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Maryland),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Massachusetts),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Michigan),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Minnesota),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Mississippi),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Missouri),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Montana),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Nebraska),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Nevada),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  New Hampshire),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  New Jersey),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  New Mexico),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  New York),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  North Carolina),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  North Dakota),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Ohio),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Oklahoma),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Oregon),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Pennsylvania),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Rhode Island),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  South Carolina),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  South Dakota),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Tennessee),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Texas),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Utah),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Vermont),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Virginia),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Washington),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  West Virginia),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Wisconsin),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Wyoming),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  State unknown),On campus  other expenses 2018-19 (IC2018_AY),Off campus (not with family)  other expenses 2018-19 (IC2018_AY),Off campus (with family)  other expenses 2018-19 (IC2018_AY),On campus  other expenses 2018-19 (IC2018_PY),Off campus (not with family)  other expenses 2018-19 (IC2018_PY),Off campus (with family)  other expenses 2018-19 (IC2018_PY),Grand total (EF2018B_RV  Undergraduate  Age 25 and over total),
178615,Truman State University,145,MO,29,1,21,1038,,,,,4,2,,1,,,,,,67,2,16,18,,,1,,,1,3,,894,,6,1,,,,,,,3,,,,1,,2,,5,,,,1,,6,,4,3800,3800,3800,,,,71,
160755,Tulane University of Louisiana,372,LA,22,2,11,1811,19,,10,10,205,29,49,4,9,105,53,4,,145,2,2,15,10,198,,79,85,4,16,17,25,,3,4,,116,3,221,24,,22,4,8,46,9,10,,33,124,4,3,36,28,,17,1,,1086,1086,5298,,,,,
221953,Tusculum University,160,TN,47,2,52,258,1,,,,,,1,,,28,11,,,1,,,,1,1,,5,1,1,1,1,,,1,,,2,,,9,,1,,1,1,,12,,164,5,,,9,,,,,,4360,4360,4360,,,,362,
102377,Tuskegee University,161,AL,1,2,21,562,136,1,3,1,57,2,3,1,2,27,143,1,,42,7,,,,11,,8,,9,1,10,6,,,,,7,,12,7,,10,,,4,,9,,9,18,,,6,1,,5,,3,5907,6353,4950,,,,,
128328,United States Air Force Academy,203,CO,8,1,,1137,18,3,31,11,108,81,11,1,2,67,47,10,12,43,17,12,14,13,7,2,33,12,28,28,8,25,2,10,12,4,20,19,33,26,4,41,13,11,36,5,13,2,31,106,11,1,38,28,6,20,1,,,,,,,,,
196088,University at Buffalo,119,NY,36,1,33,3807,,,,,2,,2,1,,5,,,,6,1,,1,,,,,5,3,,,,,1,,1,17,,3714,2,,9,,1,15,1,,,,2,,2,3,,,2,,11,2733,2733,2733,,,,1282,
200800,University of Akron Main Campus,119,OH,39,1,32,2779,,1,,1,1,,,1,1,5,,,,6,3,,,,1,1,2,1,3,2,,2,,1,,,2,,19,1,,2627,,,91,,1,,2,,,,2,,2,,,,2520,3120,3066,,,,1830,
100663,University of Alabama at Birmingham,111,AL,1,1,35,2269,1917,1,3,,8,3,1,2,,29,107,,,25,2,,3,5,11,,,1,7,,17,2,,1,1,1,2,2,1,4,,,2,1,4,,10,,55,32,,,5,1,,3,,,4886,4886,4886,,,,2988,
104179,University of Arizona,127,AZ,4,1,29,7479,6,10,4279,5,1099,148,52,13,19,45,43,26,15,234,32,31,19,13,11,12,33,63,40,56,3,51,7,10,66,16,102,51,96,21,3,45,12,57,78,5,4,2,18,152,32,6,39,148,3,43,3,102,3400,5700,3400,,,,3441,
106397,University of Arkansas,130,AR,5,1,19,4963,4,1,3,2493,25,10,3,,,6,10,1,1,27,2,2,155,,53,,2,2,3,2,7,340,1,1,,,1,1,2,5,1,3,187,,1,,2,,92,1504,1,,3,1,,4,1,,4304,4304,4304,,,,1854,
106245,University of Arkansas at Little Rock,-2,AR,5,1,39,548,,,,513,1,1,,,,1,2,,,2,2,,3,,1,,,,,,3,3,,,,,,,2,,,,2,,,,,,2,9,,,,1,,,,,4769,5898,5898,,,,2744,
106485,University of Arkansas at Monticello,367,AR,5,1,49,578,,,,501,,,,,,,,,,,,,,,36,,,,,1,6,2,,,,,,,,,,,1,,,,,,2,28,,,,1,,,,,3600,4950,4950,,,,,
110635,University of California-Berkeley,127,CA,6,1,27,5165,5,,18,3,4301,37,14,4,13,54,15,12,7,61,10,4,5,6,6,2,41,31,20,20,1,11,,4,11,3,63,5,61,15,,20,1,24,43,,3,,12,78,14,2,19,73,1,8,,4,4811,5017,12441,,,,1712,
110662,University of California-Los Angeles,127,CA,6,1,32,5529,3,3,55,6,4378,40,33,7,9,56,29,28,10,94,12,7,10,4,6,3,37,58,17,24,,11,3,3,27,1,81,8,107,19,1,18,8,32,35,5,7,,11,97,12,2,34,63,3,11,,1,4128,4772,11673,,,,1452,
132903,University of Central Florida,372,FL,12,1,38,7199,10,,2,1,19,8,19,4,,6652,40,2,,29,7,4,2,5,7,2,20,13,11,9,3,9,,3,4,4,51,,57,21,,17,2,,40,2,11,,18,22,,,28,6,1,11,,23,4970,4970,4970,,,,10303,
176965,University of Central Missouri,148,MO,29,1,31,1466,,,,5,2,1,1,,,,2,,,32,1,13,107,1,,,,1,1,3,1,1264,,11,,,,,,1,,,4,,1,,,1,3,4,,,2,,,3,,1,2450,2450,1020,,,,1190,
206941,University of Central Oklahoma,148,OK,40,1,38,2025,,,,6,,2,,,,1,,,,,1,1,9,,,,,1,,1,,1,,2,,,,,,,1,,1952,,,,,,1,46,,,,,,,,,7032,8632,8632,,,,3015,
237312,University of Charleston,370,WV,54,2,36,271,,,1,,2,,,1,,7,,,,1,2,,,,,,7,,,,,1,,,1,1,,,2,10,,16,,,2,,2,,4,3,,,17,,191,,,,2600,2900,2400,,,,841,
201885,University of Cincinnati-Main Campus,372,OH,39,1,22,5163,1,,1,,9,3,7,,1,8,11,,1,54,221,1,3,383,1,2,14,8,24,8,1,2,,1,1,1,9,,17,7,,4275,,1,28,,9,,5,18,,1,11,2,1,6,,6,3936,5450,3324,,,,3135,
126614,University of Colorado Boulder,127,CO,8,1,16,6422,8,9,33,7,898,3417,84,2,10,98,50,19,17,280,20,10,13,1,15,11,74,138,35,55,2,26,13,11,16,11,119,23,128,38,2,54,20,46,70,16,14,7,34,226,11,10,68,95,3,41,7,7,2294,2294,2142,,,,,
134130,University of Florida,130,FL,12,1,26,6349,11,1,1,5,22,11,28,6,2,5449,91,3,2,33,9,1,1,3,5,3,47,20,20,3,3,6,,2,5,5,105,,140,43,,20,,3,78,2,9,,14,48,2,2,43,7,1,4,1,29,3680,3680,3680,,,,1299,
139959,University of Georgia,130,GA,13,1,21,5682,30,1,3,6,34,11,8,2,1,76,4809,,2,34,6,1,1,9,19,2,49,10,6,2,7,8,,,1,,39,,38,109,1,13,4,2,31,1,55,2,73,102,,3,56,2,1,7,,5,3834,4374,4374,,,,841,
225511,University of Houston,372,TX,48,1,41,5001,2,1,2,4,12,5,2,4,,4,5,1,,6,1,,,,7,,4,2,3,1,1,1,,,4,,4,1,5,3,1,3,2,2,5,,1,,1,4893,,1,7,,,,,,3908,4854,4854,,,,5931,
145637,University of Illinois Urbana-Champaign,107,IL,17,1,23,6670,3,,5,3,290,5,12,1,3,17,21,1,1,5811,15,6,6,5,2,,17,27,28,11,3,18,,2,3,3,67,,28,14,,17,1,10,14,,,,7,35,3,1,30,20,1,12,,91,2500,,,,,,515,
151263,University of Indianapolis,145,IN,18,2,38,1175,,1,,,3,1,,,,3,,,,71,1006,3,,4,,,1,,16,1,,9,,1,,,1,,4,3,,30,,,,,,,2,5,,,,1,1,8,,,3304,4348,4348,,,,,
153658,University of Iowa,107,IA,19,1,20,4617,3,,5,2,49,23,3,,,14,7,1,,1171,19,2801,22,,1,2,3,3,13,151,,42,1,28,1,1,13,3,7,3,1,6,2,3,6,,2,4,1,35,1,,7,4,1,138,,14,2850,3306,3306,,,,1691,
155317,University of Kansas,108,KS,20,1,21,3984,,1,12,18,52,125,2,1,1,19,12,3,4,276,2,25,2428,1,3,1,7,6,10,127,,444,,102,4,1,13,2,10,8,2,10,47,5,7,,,6,7,118,2,,12,9,,30,1,8,3080,3080,3080,,,,1568,
157085,University of Kentucky,130,KY,21,1,23,4999,17,2,,4,24,12,9,3,3,42,114,1,,371,96,2,1,3201,8,,52,16,46,4,5,75,1,3,4,4,39,1,38,40,1,401,2,1,84,3,11,,98,38,,,49,3,42,27,1,,4042,4042,4048,,,,1485,
160658,University of Louisiana at Lafayette,134,LA,22,1,34,2697,5,,,1,6,1,1,,,4,2,,,3,,,1,,2576,,4,,,,8,2,,,,,,,3,,,1,3,,,,,,3,68,1,,1,,,3,,,4002,4842,4842,,,,2102,
159993,University of Louisiana at Monroe,134,LA,22,1,36,1320,3,1,,9,1,3,,,,2,3,,,1,,,2,,1170,,,,1,,5,3,,,1,,2,,,,1,,3,,1,,1,,4,48,,,,,,,,55,4040,4880,4880,,,,928,
200217,University of Mary,155,ND,38,2,19,528,,1,11,1,18,10,,,,11,,,6,7,2,1,2,,,,,,1,139,2,,32,4,4,1,1,1,,1,186,2,,1,1,1,,26,,5,1,,,10,,32,5,2,2550,2550,2550,,,,407,
163286,University of Maryland-College Park,107,MD,24,1,18,5910,1,,6,,67,10,150,16,19,65,15,3,,32,4,,,3,1,4,3901,153,7,4,1,4,,2,1,15,620,2,334,23,,17,3,3,235,11,3,,8,24,2,5,106,6,,2,,22,2492,4172,4172,,,,,
220862,University of Memphis,372,TN,47,1,44,2430,11,,,48,1,3,1,,,8,6,,1,12,1,,,4,9,,1,1,3,1,135,23,,1,1,,2,,1,4,,2,4,,,,,,2125,10,,2,2,2,1,3,,1,4562,4562,4562,,,,3651,
170976,University of Michigan-Ann Arbor,107,MI,26,1,17,6386,4,6,17,2,361,35,92,1,21,139,52,8,,400,28,5,8,4,9,3,92,106,3546,38,1,27,3,3,11,6,315,7,514,25,1,136,4,13,105,6,5,1,17,61,5,6,75,32,1,26,3,,2454,2454,7268,,,,,
174075,University of Minnesota-Crookston,155,MN,27,1,23,214,,,4,1,5,1,,,,1,,,,3,1,4,,,,,,,1,160,,,,,1,,,,,,16,,1,1,1,,,1,,3,,,,1,,7,1,,1938,1938,2636,,,,867,
174233,University of Minnesota-Duluth,155,MN,27,1,22,2195,,,,,3,1,,,,,,,,10,,4,2,,,1,,,3,1903,,1,,,1,,1,,,,15,1,1,,,,1,9,,4,,1,1,,,229,,3,2288,2288,2000,,,,421,
174066,University of Minnesota-Twin Cities,107,MN,27,1,18,5693,1,,3,,75,16,6,,,8,15,,2,304,14,31,19,1,1,1,8,9,17,3898,,33,1,17,2,,25,1,21,6,50,12,1,7,11,,6,100,2,24,1,,14,7,,898,,25,2228,2228,2228,,,,2841,
176017,University of Mississippi,130,MS,28,1,23,3404,102,1,12,49,70,18,12,5,3,111,213,1,1,135,19,2,12,44,100,2,39,19,8,6,1472,131,,3,3,2,34,2,16,47,,21,9,4,25,4,27,,243,299,1,1,55,4,,16,1,,4880,4880,4880,,,,1251,
178396,University of Missouri-Columbia,130,MO,29,1,21,4629,3,1,9,27,43,45,4,1,,11,31,1,,825,6,23,93,4,4,1,4,7,5,68,1,3158,1,9,1,2,8,,5,3,,18,13,3,6,,3,5,27,107,3,,11,8,,21,,,4776,4776,4776,,,,891,
181215,University of Nebraska at Kearney,148,NE,31,1,37,915,,,1,,,26,,,,,1,,,13,,5,10,,,,,1,,,,5,,849,,,,,,,,,,,,,,3,,1,,,,,,,,,4392,4392,4392,,,,476,
181464,University of Nebraska-Lincoln,107,NE,31,1,23,4582,3,2,15,6,54,88,3,,,19,9,2,1,203,10,76,112,1,1,,7,7,18,171,3,74,5,3343,2,,8,4,8,2,13,6,4,2,7,2,1,114,6,61,4,,9,10,,35,7,44,3248,3246,3248,,,,970,
182281,University of Nevada-Las Vegas,203,NV,32,1,37,4061,3,10,37,1,255,24,3,2,,11,5,158,6,22,3,2,2,1,4,,6,6,4,7,,3,2,2,3345,1,2,4,12,1,2,5,1,15,8,2,1,,5,18,9,,3,29,1,5,8,5,4020,6074,6074,,,,5178,
182290,University of Nevada-Reno,203,NV,32,1,26,3669,,7,9,,873,4,,,,1,1,15,4,5,,1,,2,,,1,,,5,,,5,1,2689,,1,1,,,2,2,2,10,,,,,1,10,1,,,16,,,,,4370,4370,4770,,,,1851,
129941,University of New Haven,153,CT,9,2,27,1312,,1,1,,12,1,529,8,2,17,2,,1,3,,1,,,,7,16,134,,1,,1,,,,29,184,,282,,,2,,,37,24,1,,,2,,3,5,3,1,1,,1,1716,2496,5608,,,,349,
187985,University of New Mexico-Main Campus,203,NM,35,1,36,2608,4,4,27,,70,50,,1,,8,5,2,1,14,3,,1,1,,2,5,6,2,5,,7,4,,11,1,,2201,3,2,,2,7,12,5,,1,3,3,73,1,1,7,20,,6,1,26,4016,5366,4016,,,,4565,
199139,University of North Carolina at Charlotte,111,NC,37,1,37,3685,,,,1,5,3,11,2,2,4,15,,,3,2,,1,2,2,,24,13,2,1,,1,,,1,5,31,3,25,3403,,8,1,,13,3,23,,2,4,,2,19,,1,3,,44,3159,3487,3504,,,,3299,
199281,University of North Carolina at Pembroke,141,NC,37,1,54,1229,,,,,,,,,1,1,6,,,1,,,,1,1,,1,1,,,,,,,,,2,,1,1153,,1,,,1,,22,,2,,,,6,1,,,,27,3241,3296,3296,,,,1446,
227216,University of North Texas,111,TX,48,1,37,4636,3,1,3,7,23,8,2,,,9,5,1,,11,,2,10,,3,1,3,1,3,3,2,5,,4,,1,2,,2,2,1,6,43,3,6,1,2,1,1,4430,2,,5,5,,5,,8,3250,4570,4214,,,,4749,
152080,University of Notre Dame,113,IN,18,2,11,1883,8,3,24,4,155,39,30,4,6,77,52,6,4,216,147,18,13,18,31,1,35,60,69,44,2,38,6,12,5,8,117,7,147,19,1,97,8,14,82,4,7,1,18,95,4,2,48,21,4,52,,,1950,1950,1950,,,,12,
207500,University of Oklahoma-Norman Campus,108,OK,40,1,23,4256,7,4,6,20,78,46,3,,,21,14,1,3,34,7,6,46,3,4,,2,5,5,8,,32,1,5,10,1,11,11,8,6,1,15,2487,1,8,2,3,2,6,1284,3,,15,5,1,7,1,7,5898,5898,5898,,,,,
209551,University of Oregon,127,OR,41,1,26,3990,1,7,24,2,1238,61,8,1,3,21,9,49,17,35,3,4,4,,1,1,9,19,8,19,1,5,6,4,28,5,18,7,8,5,3,6,3,2100,9,2,1,2,4,57,10,4,16,129,,6,3,4,2400,2400,2400,,,,1297,
219383,University of Sioux Falls,155,SD,46,2,31,308,,,7,,2,4,,,,,,1,,1,,28,,,,,,,,73,1,1,1,25,,,,,,,1,1,,,,,,149,,,,,,,,9,4,,3650,4065,2730,,,,190,
102094,University of South Alabama,134,AL,1,1,40,1895,1491,,,,1,2,,1,,127,9,,,12,3,,1,2,32,,1,,1,1,175,2,,,,,1,,1,2,,4,,,,,,,10,13,,,1,,,2,,,4390,4390,4390,,,,1467,
218663,University of South Carolina-Columbia,130,SC,45,1,20,5805,3,,3,1,24,6,72,22,4,61,270,1,1,124,7,2,1,32,6,2,271,118,15,8,2,16,,1,,8,248,,175,509,,97,1,1,214,7,3012,,76,26,2,,314,1,5,8,,28,4232,4232,4232,,,,1358,
137351,University of South Florida,372,FL,12,1,36,4219,2,,3,2,10,4,8,4,,3802,22,1,,29,4,,2,5,6,1,27,16,10,10,3,8,1,1,2,5,33,1,46,13,1,17,1,5,34,1,3,3,6,13,,2,13,1,3,6,,29,4100,4100,4100,,,,5699,
123961,University of Southern California,127,CA,6,2,21,2867,9,4,55,6,1425,47,28,7,5,93,38,36,7,118,14,4,24,11,17,4,49,41,15,23,2,38,6,8,25,7,60,9,148,20,1,39,11,30,35,4,9,1,25,134,12,2,48,90,5,14,4,,2000,2000,5070,,,,647,
176372,University of Southern Mississippi,111,MS,28,1,48,2053,153,1,2,3,4,1,,,,63,21,,,11,1,1,1,1,354,,4,,3,3,1373,5,,1,1,,,,3,2,,2,,,1,,1,,15,17,,,2,2,,,,1,3306,4316,3806,,,,2282,
206084,University of Toledo,119,OH,39,1,30,3198,,1,3,,7,,1,1,4,10,3,,,30,17,,1,7,,,5,2,565,,,3,,,1,1,5,,13,3,,2465,,1,19,1,1,1,3,9,,,1,1,1,3,,9,5516,6662,6662,,,,,
207971,University of Tulsa,372,OK,40,2,20,720,,,,33,17,9,,,,2,1,1,,8,1,,22,,1,,1,1,4,1,,92,,3,1,,1,3,3,3,,1,375,1,4,,,,1,123,,1,1,1,,4,,,5900,5900,5900,,,,,
230764,University of Utah,127,UT,49,1,26,4102,5,10,55,2,335,91,6,,1,14,15,10,140,35,2,3,4,4,3,7,11,10,19,17,,9,15,4,63,12,13,10,25,11,2,15,2,53,16,4,3,4,7,62,2577,7,17,42,2,15,17,296,3700,3700,3700,,,,5321,
236948,University of Washington-Seattle Campus,127,WA,53,1,21,5982,6,8,28,3,754,60,8,3,4,37,11,54,16,46,5,3,9,,4,1,21,22,10,23,2,14,2,4,21,6,25,8,27,10,1,14,3,96,24,2,8,,9,66,23,2,23,4443,1,11,1,,2733,2733,2733,,,,,
101587,University of West Alabama,146,AL,1,1,54,405,340,,,,1,,,,,8,12,1,,1,1,,,,1,,,,,,31,2,,,1,,,,,1,,,,,1,,1,,3,,,,,,,,,,3505,3505,3505,,,,433,
141334,University of West Georgia,146,GA,13,1,47,2266,16,,,,,,,,,,2190,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,58,6800,6800,6800,,,,1209,
240444,University of Wisconsin-Madison,107,WI,55,1,14,6292,3,1,16,2,260,28,47,4,26,46,25,2,3,659,14,17,9,7,4,8,63,63,54,708,1,34,1,5,4,4,116,3,220,16,4,33,4,6,34,7,2,2,11,32,4,4,27,13,1,3629,,6,3156,3156,3156,,,,1334,
240727,University of Wyoming,203,WY,56,1,22,1836,3,5,11,2,65,503,2,,,6,10,3,8,35,11,5,15,4,4,,5,5,15,15,,5,8,46,4,4,3,6,2,2,2,11,1,11,10,1,4,19,8,26,10,,9,10,,11,883,8,3040,3040,1520,,,,1636,
154493,Upper Iowa University,155,IA,19,2,40,180,,,,,4,2,,,,9,,,1,23,1,78,,,9,,,,2,11,,3,,,,,,,,,,,,,1,,,,,4,1,,,1,1,29,,,3286,3286,3286,,,,2391,
230728,Utah State University,203,UT,49,1,34,4336,7,17,88,4,125,73,6,,,16,13,8,325,26,9,6,7,5,2,2,6,10,9,11,1,9,24,10,49,2,5,13,11,14,4,11,2,42,8,3,13,1,9,77,3101,1,28,63,2,9,38,11,3996,3996,1998,,,,4354,
141264,Valdosta State University,146,GA,13,1,50,1754,14,,,,2,,1,,,324,1378,,,3,1,,1,,1,,1,,1,,,1,,,,,2,,2,,,1,,,2,,11,1,4,,,,1,,,1,,1,5512,5512,5512,,,,1334,
221999,Vanderbilt University,130,TN,47,2,16,1393,28,1,16,12,95,10,30,2,2,112,88,4,2,109,25,6,6,32,13,2,30,41,21,13,14,23,2,2,3,3,65,3,122,38,,49,6,7,28,6,13,,141,104,2,,27,19,1,8,,7,2802,,,,,,19,
234155,Virginia State University,140,VA,51,1,71,929,1,,,,5,,14,6,68,6,4,,,1,1,,,,,,54,2,1,1,,,,,2,,29,,51,14,,6,1,,12,,2,,3,3,,,635,3,1,1,,2,1675,1675,6507,,,,332,
234164,Virginia Union University,140,VA,51,2,77,170,,,,,1,,,,9,1,1,,,,1,,,,,,18,,,,,,,,,,8,,10,6,,,,,8,,,,,1,,,106,,,,,,3512,6566,6566,,,,,
206437,Walsh University,371,OH,39,2,30,438,,,,,1,,,,,2,1,,,3,4,,,,,,2,1,5,1,,,,,,,,,9,,,388,,1,16,,,,,,,,4,,,,,,2448,2664,2292,,,,227,
156082,Washburn University,148,KS,20,1,31,771,,1,1,1,,6,,,,,,,,,1,1,691,,,,,,,1,,28,,16,,,,,,,,1,5,,,,,,,4,,,,,,,,14,3600,3600,3600,,,,1098,
236939,Washington State University,127,WA,53,1,31,5086,4,38,24,2,489,48,1,,1,8,5,107,55,14,1,1,3,1,,1,6,2,7,7,,6,17,2,13,,2,8,6,2,2,2,2,107,4,,1,1,2,24,15,1,5,4005,2,2,1,29,3542,3542,3542,,,,3979,
181783,Wayne State College,155,NE,31,1,36,712,,1,1,,1,4,,,,3,,3,,2,,50,4,,,,,,1,7,,9,,614,,,,,,,,,,1,,,,7,,,,,1,,,2,1,,3006,3006,3006,,,,276,
172644,Wayne State University,144,MI,26,1,44,3001,,,,,2,,,,,,,,,7,3,,,,1,,3,,2934,,,,,,1,,1,,3,1,,9,,,2,,,,3,2,1,,2,,,5,,21,2298,5214,4773,,,,3585,
216764,West Chester University of Pennsylvania,158,PA,42,1,26,2773,,,,,1,,,48,,,,,,1,,,,,,1,13,3,1,,,,,,,1,255,,10,,,1,,,2431,1,1,,,1,,,3,,1,,,,2520,2520,4360,,,,1345,
237932,West Liberty University,163,WV,54,1,39,402,1,,,,1,,,1,,,,,,,,,,,,,3,,1,,,,,,,,,,,1,,111,,,31,,,,1,,,,3,,248,,,,4571,4571,4006,,,,,
229814,West Texas A & M University,147,TX,48,1,38,1184,1,,3,7,10,38,1,,1,4,2,,,6,1,1,6,,,,,3,2,3,,6,,1,1,,,38,1,2,,,8,1,3,,,2,,1028,,,1,2,,1,,,4854,4854,4854,,,,1694,
237899,West Virginia State University,163,WV,54,1,26,323,1,,,,1,,,,4,1,4,,,,1,,,5,,,3,,,,,,,,,,2,,2,2,,24,,,2,,1,,1,,,,5,,264,,,,2386,3376,3376,,,,476,
238032,West Virginia University,108,WV,54,1,24,4649,4,1,3,,18,6,36,39,8,25,13,1,,33,9,1,,3,3,,347,27,16,2,,7,3,1,2,8,253,1,135,39,3,249,2,1,731,6,11,1,6,28,,,369,3,2185,9,1,,2620,2620,2620,,,,1094,
237969,West Virginia Wesleyan College,370,WV,54,2,36,302,,,1,,4,1,2,1,2,5,2,,,2,4,,,1,,2,24,,,,1,,,,,,2,,5,5,,9,,,17,,,,,2,,,21,,189,,,,3565,3565,3565,,,,19,
128391,Western Colorado University,159,CO,8,1,21,508,,,3,1,22,380,2,,,4,,2,1,8,4,1,4,,,,,3,3,3,1,4,2,1,,2,3,3,1,1,1,2,3,1,6,1,,1,1,19,1,2,3,5,,2,1,,3024,3024,2871,,,,248,
157951,Western Kentucky University,111,KY,21,1,29,2907,12,,,1,5,,2,1,1,10,26,1,,76,144,1,,2172,6,,3,,2,3,1,18,,,,,3,,2,,,13,,,3,,1,,390,7,1,,1,,,1,,,1985,3640,1985,,,,2155,
172699,Western Michigan University,119,MI,26,1,32,2933,,1,,,6,3,,1,1,21,1,,,530,48,1,1,2,,2,3,6,2222,1,,5,,,,2,7,1,2,6,,18,,,3,,3,,,12,,,2,1,,21,,,2415,2415,4068,,,,2024,
188304,Western New Mexico University,147,NM,35,1,46,281,,,39,,9,2,,,,,,2,1,,,,,,,,,1,,,,,,,3,,,198,1,,,,1,,,,,,,22,,,,2,,,,,4288,4288,4288,,,,,
210429,Western Oregon University,213,OR,41,1,39,799,,8,3,,39,2,,,,1,1,54,6,,,,,,,,,,,,,,1,1,3,,,,,,,,,622,1,,,1,,,2,,,52,,,1,1,2430,2430,2430,,,,629,
238078,Wheeling University,370,WV,54,2,35,284,1,,1,,,,,,1,8,5,,,,1,,,1,,,36,,4,,,3,2,,1,,3,,1,,,94,,,38,,1,,2,1,1,,4,1,72,1,,1,1800,1200,3600,,,,,
156125,Wichita State University,-2,KS,20,1,33,1714,1,,,7,3,7,,,,1,3,,1,28,2,4,1348,1,,,2,,4,5,,70,,14,,1,,1,1,2,,2,90,,2,,1,,3,71,,,2,1,,8,,28,3270,3270,3270,,,,3821,
179955,William Jewell College,145,MO,29,2,24,164,,,,2,3,2,,,,2,,1,,1,,,37,1,,,,,1,1,1,99,,2,1,,,,,,,,4,,,,,,,4,,,,,,2,,,3868,4600,4600,,,,,
199962,Wingate University,160,NC,37,2,41,913,3,1,,,4,,1,,,16,50,1,,2,1,,,,1,1,25,2,2,1,,,,,,2,4,,17,649,,1,,,9,1,94,,3,4,1,,14,2,1,,,,2800,2800,2800,,,,,
175272,Winona State University,155,MN,27,1,27,1527,,,2,,2,1,,,,,,,,55,1,16,1,,,,,1,,1006,,1,,1,2,1,,,,,1,1,2,,1,,,7,,2,,,,,,423,,,2640,2640,2640,,,,,
199999,Winston-Salem State University,140,NC,37,1,64,935,2,,,,1,,1,3,6,3,5,,,2,,,,,,,15,4,2,,,,,,,,6,,7,816,,2,,1,2,,15,,4,1,,,25,2,,,,10,2611,4304,2954,,,,870,
